Study,Parent Pair,Cohort,Access ID,Sex,Diet,Diet Start Week,Litter Size,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,Total AUC,FastGluc,FastIns,REST EPISODE COUNT_5,MOVEMENT EPISODE COUNT_5,VERTICAL EPISODE COUNT_5,SWIM,CLIMB,FLOAT
Thesis,561,9T,743634,F,HFD,FOUR,11,175,0.571428571,0.742857143,0.457142857,11872.5,84,0.7255,10,11,28,37,5,18
Thesis,545,9T,743593,F,HFD,FOUR,8,226,1.725663717,2.876106195,1.10619469,16410,88,,4,5,20,24,4,32
Thesis,518,9T,743743,F,HFD,FOUR,10,237,1.139240506,2.53164557,0.928270042,12712.5,79,,3,4,27,5,0,55
Thesis,523,9T,743614,F,HFD,FOUR,9,222,1.621621622,3.108108108,0.990990991,13680,70,,7,8,35,22,1,37
Thesis,606,9T,743683,F,HFD,FOUR,10,177,0.677966102,1.807909605,0.451977401,17092.5,80,,3,4,26,25,2,33
Thesis,528,10T,743943,F,HFD,FOUR,7,237,3.122362869,3.755274262,2.067510549,12112.5,88,0.8315,8,8,29,12,0,48
Thesis,553,10T,743953,F,HFD,FOUR,9,218,1.513761468,2.798165138,1.146788991,12187.5,67,,7,8,24,18,0,42
Thesis,538,10T,743923,F,HFD,FOUR,9,274,1.934306569,3.503649635,1.715328467,15082.5,76,0.594,7,8,29,6,0,54
Thesis,560,10T,744023,F,HFD,FOUR,10,288,3.402777778,4.444444444,2.361111111,14160,85,1.133,7,8,28,24,3,33
Thesis,543,10T,743933,F,HFD,FOUR,12,226,1.327433628,2.212389381,0.92920354,11182.5,83,,5,6,30,31,5,24
Thesis,535,10T,744011,F,HFD,FOUR,12,252,2.658730159,4.563492063,2.301587302,13987.5,68,0.4825,6,7,34,35,4,21
Thesis,635,11T,745543,F,HFD,FOUR,12,222,,,,14850,84,0.877,17,18,17,19,2,39
Thesis,634,11T,745563,F,HFD,FOUR,13,203,,,,11685,74,,9,10,26,18,2,40
Thesis,665,11T,745553,F,HFD,FOUR,9,225,,,,16027.5,74,,14,14,19,15,1,44
Thesis,641,11T,745573,F,HFD,FOUR,10,276,,,,16672.5,87,,8,9,23,48,11,1
Thesis,630,11T,745533,F,HFD,FOUR,13,244,,,,13312.5,81,,4,5,40,51,8,1
Thesis,721,11T,745615,F,HFD,FOUR,10,245,,,,13440,71,,12,13,27,47,10,3
Thesis,654,12T,745893,F,HFD,FOUR,12,253,,,,17002.5,79,0.4015,3,4,23,33,0,27
Thesis,621,12T,745903,F,HFD,FOUR,11,252,,,,12007.5,74,0.63,14,15,23,56,3,1
Thesis,625,12T,745883,F,HFD,FOUR,12,254,,,,13687.5,95,0.8305,13,14,24,58,0,2
Thesis,624,12T,746013,F,HFD,FOUR,8,212,,,,12060,71,,19,20,8,56,3,1
Thesis,614,12T,746003,F,HFD,FOUR,9,194,,,,11377.5,75,0.43,5,6,33,55,4,1
Thesis,638,12T,746023,F,HFD,FOUR,14,253,,,,15022.5,76,,4,5,38,45,4,11
Thesis,605,13T,749093,F,HFD,SIX,8,203,2.068965517,,0.640394089,12690,72,0.4155,9,10,20,45,10,5
Thesis,737,13T,749251,F,HFD,SIX,14,241,0.995850622,2.033195021,1.078838174,12345,84,0.5075,11,12,31,49,6,5
Thesis,612,13T,749213,F,HFD,SIX,7,210,1.047619048,1.619047619,0.857142857,12435,73,,3,4,31,46,2,12
Thesis,656,13T,749163,F,HFD,SIX,8,237,1.64556962,2.869198312,1.392405063,14205,73,1.1365,22,22,28,36,5,19
Thesis,702,13T,749143,F,HFD,SIX,12,227,0.704845815,1.497797357,0.528634361,12967.5,74,0.4235,12,13,36,37,1,22
Thesis,618,13T,749171,F,HFD,SIX,8,250,0.96,1.4,0.6,13447.5,76,,11,12,18,55,3,1
Thesis,643,14T,749423,F,HFD,SIX,8,231,0.476190476,0.909090909,0.432900433,,,,12,13,25,50,0,10
Thesis,662,14T,749473,F,HFD,SIX,9,215,0.930232558,1.627906977,0.604651163,,,,17,17,19,55,0,5
Thesis,613,14T,749513,F,HFD,SIX,12,251,1.952191235,3.187250996,1.394422311,,,0.5605,17,18,20,29,0,31
Thesis,616,14T,749503,F,HFD,SIX,10,286,2.587412587,4.265734266,1.538461538,,,0.4055,4,5,30,33,0,27
Thesis,661,14T,749405,F,HFD,SIX,12,209,0.669856459,1.196172249,0.38277512,,,0.634,4,5,35,39,1,20
Thesis,607,14T,749483,F,HFD,SIX,11,236,1.737288136,3.559322034,1.525423729,,,0.295,8,9,36,43,3,14
Thesis,707,15T,751792,F,HFD,SIX,10,,,,,,,,7,8,24,,,
Thesis,701,15T,751785,F,HFD,SIX,5,,,,,,,,8,9,26,,,
Thesis,710,15T,751943,F,HFD,SIX,13,,,,,,,,12,13,23,,,
Thesis,0751B,15T,751953,F,HFD,SIX,5,,,,,,,,7,8,29,,,
Thesis,741,15T,751774,F,HFD,SIX,7,,,,,,,,4,5,29,,,
Thesis,730,15T,751933,F,HFD,SIX,10,,,,,,,,10,11,28,,,
Thesis,717,16T,752123,F,HFD,SIX,11,,,,,,,,11,12,33,,,
Thesis,732,16T,752143,F,HFD,SIX,6,,,,,,,,15,16,21,,,
Thesis,761,16T,752163,F,HFD,SIX,10,,,,,,,,7,8,27,,,
Thesis,764,16T,752433,F,HFD,SIX,10,,,,,,,,8,9,32,,,
Thesis,756,16T,752133,F,HFD,SIX,10,,,,,,,,12,13,33,,,
Thesis,704,16T,752343,F,HFD,SIX,12,,,,,,,,6,7,25,,,
Thesis,338,1T,734527,F,LFD,SIX,8,246,1.869918699,0.487804878,0.731707317,11932.5,73,0.645,8,9,27,51,4,5
Thesis,448,1T,734636,F,LFD,SIX,12,225,0.977777778,0.533333333,0.622222222,12562.5,75,,6,7,32,50,2,8
Thesis,343,1T,734577,F,LFD,SIX,9,247,1.619433198,1.052631579,0.647773279,12682.5,86,,19,20,26,39,9,12
Thesis,405,1T,734587,F,LFD,SIX,13,238,2.18487395,1.428571429,1.176470588,12420,81,,4,5,38,24,11,25
Thesis,405,1T,734586,F,LFD,SIX,13,214,1.308411215,1.028037383,0.747663551,10515,66,,10,11,24,25,13,22
Thesis,448,1T,734635,F,LFD,SIX,12,226,2.654867257,1.150442478,1.061946903,13627.5,81,,10,11,21,40,6,14
Thesis,408,2T,734674,F,LFD,SIX,13,232,1.034482759,0.862068966,0.517241379,11317.5,71,,5,6,34,43,4,13
