Batch,Study,Parent_Pair,Cohort,Dam_ID,Sire_ID,Animal_ID,Access_ID,Sex,Diet,DOB,Date_of_Wean,Diet_Start,Diet_Start_Week,Litter_Number,Litter_Size,Coat_Color,Ear_Punch,Rack,Total_AUC,FastGluc,FastIns,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,ClosedJunc,OpenJunc,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,SWIM,CLIMB,FLOAT
Thesis,Thesis,428,5T,728082,727733,AWD262,738573,F,HFD,43475,43496,43518,SIX,6,8,BLK HOOD,LTRT,C-G3,10650,66,0.574,242,3.760330579,3.016528926,0.991735537,194.92,104.2,4,5,27,50,3,7
Thesis,Thesis,441,5T,728062,727813,AWD254,738293,F,HFD,43471,43493,43518,SIX,7,11,BRN HOOD,RB,C-H3,14692.5,74,,270,1.851851852,2.703703704,1.555555556,164.22,135.19,8,9,29,42,4,11
Thesis,Thesis,461,5T,733092,733472,AWD266,738503,F,HFD,43475,43496,43518,SIX,6,11,ALBINO,LT,C-H3,14025,73,,267,1.797752809,2.996254682,1.423220974,170.09,124.88,2,3,23,45,1,14
Thesis,Thesis,412,6T,727792,727921,AWD270,738543,F,HFD,43477,43500,43525,SIX,8,7,ALBINO,LT,C-F7,14737.5,78,0.7695,237,1.35021097,3.037974684,1.139240506,150.45,144.09,7,8,31,13,0,47
Thesis,Thesis,414,6T,727802,728091,AWD274,738603,F,HFD,43477,43500,43525,SIX,8,6,BRN HOOD,LM,C-F7,13845,82,0.5145,240,1.875,3,1.416666667,97.24,202.72,10,11,22,38,0,22
Thesis,Thesis,425,6T,729792,728021,AWD286,738683,F,HFD,43480,43501,43525,SIX,8,13,BRN HOOD,LT,C-G7,,,,,,,,174.8,51.28,,,,,,
Thesis,Thesis,430,6T,728092,727851,AWD290,738693,F,HFD,43480,43501,43525,SIX,7,11,ALBINO,RB,C-G7,,,,,,,,186.2,110.68,,,,,,
Thesis,Thesis,455,6T,733601,733581,AWD278,738593,F,HFD,43477,43500,43525,SIX,6,13,ALBINO,LB,C-H7,11925,77,,207,0.77294686,1.207729469,0.579710145,262.68,34.91,5,6,20,28,0,32
Thesis,Thesis,436,6T,728052,727771,AWD282,738711,F,HFD,43479,43500,43525,SIX,8,3,BRN HOOD,RB,C-H7,13050,74,0.8825,296,2.939189189,3.209459459,1.486486486,120.22,173.13,5,6,29,14,1,45
Thesis,Thesis,548,7T,733771,731561,AWD294,740865,F,HFD,43533,43556,43581,SIX,4,9,ALBINO,LM,C-C3,11145,74,0.459,226,1.460176991,2.256637168,1.10619469,189.78,108.6,4,5,28,48,8,4
