Study,Parent Pair,Cohort,Access ID,Sex,Diet,Diet Start Week,Litter Size,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,FastIns,FastGluc,Total AUC,SWIM,CLIMB,FLOAT,REST EPISODE COUNT_5,MOVEMENT EPISODE COUNT_5,VERTICAL EPISODE COUNT_5
Thesis,621,12T,745901,M,HFD,FOUR,11,424,,,,0.4455,85,11355,54,1,5,23,23,22
Thesis,621,12T,745902,M,LFD,FOUR,11,406,,,,1.869,75,10530,46,11,3,10,11,21
Thesis,614,12T,746001,M,HFD,FOUR,9,343,,,,1.219,73,12562.5,49,2,9,15,15,17
Thesis,614,12T,746002,M,LFD,FOUR,9,317,,,,1.077,69,10050,42,2,16,7,8,26
Thesis,624,12T,746011,M,HFD,FOUR,8,392,,,,1.22,75,13785,51,3,6,24,25,20
Thesis,624,12T,746012,M,LFD,FOUR,8,351,,,,0.749,72,9750,54,4,2,26,27,15
Thesis,638,12T,746021,M,HFD,FOUR,14,399,,,,2.3615,80,14010,47,0,13,9,10,27
Thesis,638,12T,746022,M,LFD,FOUR,14,466,,,,1.481,74,10342.5,57,2,1,9,10,21
Thesis,605,13T,749091,M,HFD,SIX,8,387,3.049095607,2.015503876,1.80878553,2.3675,,,48,0,12,22,23,17
Thesis,605,13T,749092,M,LFD,SIX,8,384,1.666666667,1.09375,1.09375,0.8025,,,60,0,0,20,21,16
Thesis,724,13T,749111,M,HFD,SIX,4,431,2.088167053,1.554524362,0.90487239,0.971,,,40,3,17,15,16,24
Thesis,724,13T,749112,M,LFD,SIX,4,403,2.406947891,1.935483871,1.315136476,1.2655,,,47,0,13,16,17,15
Thesis,702,13T,749141,M,HFD,SIX,12,430,3.488372093,2.279069767,1.558139535,1.6235,,,55,3,2,18,18,18
Thesis,702,13T,749142,M,LFD,SIX,12,369,2.818428184,1.707317073,1.029810298,0.7885,,,40,0,20,15,16,17
Thesis,656,13T,749161,M,HFD,SIX,8,414,4.154589372,2.584541063,1.690821256,2.887,,,46,1,13,22,23,12
Thesis,656,13T,749162,M,LFD,SIX,8,297,1.683501684,1.818181818,0.808080808,0.8435,,,56,2,0,6,7,27
Thesis,612,13T,749211,M,HFD,SIX,7,452,6.216814159,2.32300885,2.411504425,3.6525,,,12,0,48,20,20,15
Thesis,612,13T,749212,M,LFD,SIX,7,383,2.454308094,1.514360313,1.305483029,1.1525,,,46,7,7,13,14,25
Thesis,737,13T,749253,M,HFD,SIX,14,371,3.261455526,2.04851752,1.428571429,1.214,,,23,0,37,14,15,24
Thesis,737,13T,749254,M,LFD,SIX,14,370,1.702702703,1.135135135,1.405405405,0.591,,,51,6,3,16,17,16
Thesis,661,14T,749403,M,HFD,SIX,12,436,3.967889908,2.52293578,1.605504587,2.406,,,30,3,27,12,13,19
Thesis,661,14T,749404,M,LFD,SIX,12,323,1.052631579,1.114551084,0.80495356,,,,33,3,24,16,17,20
Thesis,643,14T,749421,M,HFD,SIX,8,489,4.110429448,2.494887526,2.208588957,2.9765,,,26,4,29,15,16,26
Thesis,643,14T,749422,M,LFD,SIX,8,354,1.779661017,1.949152542,1.327683616,1.048,,,51,0,9,18,19,18
Thesis,662,14T,749471,M,HFD,SIX,9,400,3.15,2.325,1.55,1.1795,,,32,1,27,16,17,14
Thesis,662,14T,749472,M,LFD,SIX,9,351,1.13960114,1.282051282,0.769230769,0.649,,,58,0,2,4,5,27
Thesis,607,14T,749481,M,HFD,SIX,11,425,2.941176471,2,1.741176471,1.5775,,,58,1,1,17,17,17
Thesis,607,14T,749482,M,LFD,SIX,11,347,1.930835735,1.81556196,1.181556196,,,,58,2,0,16,17,15
Thesis,616,14T,749501,M,HFD,SIX,10,377,3.687002653,2.519893899,1.644562334,1.506,,,51,0,9,17,18,17
Thesis,616,14T,749502,M,LFD,SIX,10,422,3.909952607,2.938388626,1.63507109,1.507,,,46,0,14,5,6,26
Thesis,613,14T,749511,M,HFD,SIX,12,388,2.886597938,2.783505155,1.932989691,2.0475,,,47,0,13,11,12,30
Thesis,613,14T,749512,M,LFD,SIX,12,377,2.042440318,2.175066313,1.352785146,0.7485,,,47,0,13,9,10,33
Thesis,741,15T,751772,M,HFD,SIX,7,511,3.268101761,2.152641879,1.232876712,,,,53,0,7,,,
Thesis,741,15T,751773,M,LFD,SIX,7,381,2.80839895,2.17847769,,,,,53,5,2,,,
Thesis,701,15T,751783,M,HFD,SIX,5,372,2.043010753,1.586021505,0.913978495,,,,55,1,4,,,
Thesis,701,15T,751784,M,LFD,SIX,5,431,2.22737819,1.80974478,0.812064965,,,,55,1,4,,,
Thesis,707,15T,751791,M,HFD,SIX,10,393,1.323155216,1.348600509,0.58524173,,,,54,1,5,,,
Thesis,817,15T,751905,M,LFD,SIX,10,381,,,,,,,55,2,3,,,
Thesis,730,15T,751931,M,HFD,SIX,10,401,2.867830424,2.219451372,1.620947631,,,,49,3,8,,,
Thesis,730,15T,751932,M,LFD,SIX,10,394,2.106598985,1.852791878,1.015228426,,,,48,9,3,,,
Thesis,710,15T,751941,M,HFD,SIX,13,349,1.833810888,1.518624642,0.859598854,,,,48,5,7,,,
Thesis,710,15T,751942,M,LFD,SIX,13,336,,,,,,,48,3,9,,,
Thesis,0751B,15T,751951,M,HFD,SIX,5,357,,,,,,,27,0,33,,,
Thesis,0751B,15T,751952,M,LFD,SIX,5,366,2.213114754,2.049180328,1.092896175,,,,54,5,1,,,
Thesis,717,16T,752121,M,HFD,SIX,11,369,1.409214092,1.246612466,0.867208672,,,,30,2,22,11,12,29
Thesis,717,16T,752122,M,LFD,SIX,11,309,1.42394822,1.391585761,1.003236246,,,,49,0,11,6,7,24
Thesis,756,16T,752131,M,HFD,SIX,10,401,2.194513716,2.044887781,1.172069825,,,,55,4,1,25,26,13
Thesis,756,16T,752132,M,LFD,SIX,10,384,1.614583333,1.640625,0.963541667,,,,59,1,0,5,6,29
Thesis,732,16T,752141,M,HFD,SIX,6,456,4.276315789,3.26754386,2.938596491,,,,51,5,4,8,9,28
Thesis,732,16T,752142,M,LFD,SIX,6,389,1.46529563,1.285347044,0.822622108,,,,49,10,1,14,15,22
Thesis,761,16T,752161,M,HFD,SIX,10,442,3.303167421,2.262443439,1.402714932,,,,21,1,38,18,19,21
Thesis,761,16T,752162,M,LFD,SIX,10,405,1.481481481,1.555555556,0.888888889,,,,48,0,12,18,19,25
Thesis,704,16T,752341,M,HFD,SIX,12,398,1.884422111,2.035175879,1.281407035,,,,54,0,6,7,8,24
Thesis,704,16T,752342,M,LFD,SIX,12,374,2.139037433,1.764705882,1.310160428,,,,55,5,0,16,17,33
Thesis,764,16T,752431,M,HFD,SIX,10,426,4.201877934,2.816901408,2.605633803,,,,37,6,17,3,4,30
Thesis,764,16T,752432,M,LFD,SIX,10,399,2.481203008,1.503759398,1.378446115,,,,53,3,4,9,10,30
