Study,Parent Pair,Cohort,Access ID,Sex,Diet,Diet Start Week,Litter Size,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,FastIns,FastGluc,Total AUC,SWIM,CLIMB,FLOAT,REST EPISODE COUNT_5,MOVEMENT EPISODE COUNT_5,VERTICAL EPISODE COUNT_5
Pilot,226,2P,728974,M,HFD,FOUR,7,440,4.8,3.34,2.16,,,,6,2,50,9,10,27
Pilot,227,2P,728981,M,LFD,FOUR,14,360,1.94,1.56,1.08,,,,51,7,2,7,8,24
Pilot,227,2P,728982,M,HFD,FOUR,14,421,4.11,2.78,1.52,,,,37,4,19,14,15,28
Pilot,227,2P,728983,M,LFD,FOUR,14,313,1.88,1.47,1.18,,,,39,9,12,9,10,26
Pilot,227,2P,728984,M,HFD,FOUR,14,361,3.3,1.83,1.36,,,,40,5,15,2,3,34
Pilot,235,2P,729011,M,LFD,FOUR,11,416,2.24,2.04,1.25,,,,50,8,2,5,6,33
Pilot,235,2P,729012,M,HFD,FOUR,11,387,2.43,2.33,1.11,,,,48,5,7,10,11,31
Pilot,235,2P,729013,M,LFD,FOUR,11,426,3.78,2.75,1.88,,,,44,9,7,4,5,34
Pilot,235,2P,729014,M,HFD,FOUR,11,419,2.55,2.2,1.22,,,,51,4,5,7,8,27
Pilot,315,2P,729021,M,LFD,FOUR,11,398,2.94,2.41,1.46,,,,40,5,15,12,13,33
Pilot,315,2P,729022,M,HFD,FOUR,11,432,3.01,2.64,1.83,,,,46,1,13,6,6,35
Pilot,315,2P,729023,M,LFD,FOUR,11,345,2.67,1.68,1.13,,,,27,14,19,7,8,35
Pilot,315,2P,729024,M,HFD,FOUR,11,463,5.46,3.07,2.35,,,,31,1,28,6,7,25
Pilot,308,2P,729041,M,LFD,FOUR,9,359,1.95,1.87,1.23,,,,33,3,24,11,12,18
Pilot,308,2P,729042,M,HFD,FOUR,9,395,4.15,0.63,1.24,,,,49,3,6,17,18,26
Pilot,317,2P,729053,M,LFD,FOUR,13,380,2.34,1.97,1.08,,,,51,1,8,14,15,31
