IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
725251,BLACKHOOD,M,NA,NA,NA,723341,723912,,WHSM0301,2800,LT,WHSM0227,WHSF0201
725261,Black Hood,M,NA,NA,NA,723622,723861,,WHSM0302,2800,RB,WHSM0204,WHSF0202
725271,ALBINO,M,NA,NA,NA,723712,723932,,WHSM0303,2800,RT,WHSM0208,WHSF0203
726321,ALBINO,M,NA,NA,NA,723371,723621,,WHSM0304,2800,LB,WHSM0230,WHSF0204
725292,BLACKHOOD,M,NA,NA,NA,724071,723871,,WHSM0305,2800,LB,WHSM0217,WHSF0205
725301,BLACK,M,NA,NA,NA,723381,723702,,WHSM0306,2800,LT,WHSM0231,WHSF0206
725312,Black,M,NA,NA,NA,724001,723132,,WHSM0307,2800,LB,WHSM0223,WHSF0207
725321,BROWNHOOD,M,NA,NA,NA,723841,723711,,WHSM0308,2800,RB,WHSM0212,WHSF0208
725335,Brown,M,NA,NA,NA,724051,723772,,WHSM0309,2800,LM,WHSM0219,WHSF0209
725345,Black,M,NA,NA,NA,724552,723802,,WHSM0310,2800,LM,WHSM0239,WHSF0210
725351,ALBINO,M,NA,NA,NA,723501,723842,,WHSM0312,2800,LT,WHSM0243,WHSF0212
725363,Brown Hood,M,NA,NA,NA,724542,723192,,WHSM0313,2800,LB,WHSM0238,WHSF0213
725375,Brown,M,NA,NA,NA,723971,724141,,WHSM0314,2800,LT,WHSM0215,WHSF0214
725383,Brown Hood,M,NA,NA,NA,723361,723972,,WHSM0315,2800,LC,WHSM0229,WHSF0215
725391,Brown,M,NA,NA,NA,723331,723982,,WHSM0316,2800,LTRT,WHSM0226,WHSF0216
725405,Albino,M,NA,NA,NA,723354,724072,,WHSM0317,2800,LM,WHSM0228,WHSF0217
726501,Brown,M,NA,NA,NA,723411,724111,,WHSM0318,2800,RM,WHSM0234,WHSF0218
