IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
686661,NA,M,NA,NA,NA,677701,677912,NA,HSM02101,2100,LM,HSM02001,HSF02022
686671,NA,M,NA,NA,NA,677711,678322,NA,HSM02102,2100,LT,HSM02002,HSF02063
692901,NA,M,NA,NA,NA,677721,680332,NA,HSM02103,2100,LM,HSM02003,HSF02059
690951,NA,M,NA,NA,NA,677731,677852,NA,HSM02104,2100,LB,HSM02004,HSF02016
686691,NA,M,NA,NA,NA,677741,678332,NA,HSM02105,2100,LT,HSM02005,HSF02064
686701,NA,M,NA,NA,NA,681521,680292,NA,HSM02106,2100,LB,HSM02006,HSF02009
686711,NA,M,NA,NA,NA,677761,678192,NA,HSM02107,2100,LT,HSM02007,HSF02050
697341,NA,M,NA,NA,NA,677761,678192,NA,HSM02107B,2100,LT,HSM02007,HSF02050
686721,NA,M,NA,NA,NA,677771,677792,NA,HSM02108,2100,LM,HSM02008,HSF02010
686731,NA,M,NA,NA,NA,680291,681522,NA,HSM02109,2100,LT,HSM02009,HSF02006
686741,NA,M,NA,NA,NA,677791,683032,NA,HSM02110,2100,LB,HSM02010,HSF02008
686751,NA,M,NA,NA,NA,677801,678162,NA,HSM02111,2100,RM,HSM02011,HSF02047
686771,NA,M,NA,NA,NA,677821,678182,NA,HSM02113,2100,LM,HSM02013,HSF02049
690301,NA,M,NA,NA,NA,677831,678052,NA,HSM02114,2100,LT,HSM02014,HSF02036
687861,NA,M,NA,NA,NA,677841,678032,NA,HSM02115,2100,LM,HSM02015,HSF02034
686781,NA,M,NA,NA,NA,677851,677712,NA,HSM02116,2100,LT,HSM02016,HSF02002
686791,NA,M,NA,NA,NA,682431,677742,NA,HSM02117,2100,LT,HSM02017,HSF02005
690311,NA,M,NA,NA,NA,677871,677922,NA,HSM02118,2100,LT,HSM02018,HSF02023
686801,NA,M,NA,NA,NA,681541,678242,NA,HSM02119,2100,LB,HSM02019,HSF02055
686811,NA,M,NA,NA,NA,677891,681552,NA,HSM02120,2100,LT,HSM02020,HSF02046
686821,NA,M,NA,NA,NA,680301,678002,NA,HSM02121,2100,LB,HSM02021,HSF02031
686831,NA,M,NA,NA,NA,677911,677702,NA,HSM02122,2100,LB,HSM02022,HSF02001
686841,NA,M,NA,NA,NA,677921,677802,NA,HSM02123,2100,LT,HSM02023,HSF02011
686851,NA,M,NA,NA,NA,677931,677972,NA,HSM02124,2100,LM,HSM02024,HSF02028
686861,NA,M,NA,NA,NA,677941,678272,NA,HSM02125,2100,LM,HSM02025,HSF02058
686871,NA,M,NA,NA,NA,677951,681542,NA,HSM02126,2100,LM,HSM02026,HSF02019
686881,NA,M,NA,NA,NA,677963,677952,NA,HSM02127,2100,LM,HSM02027,HSF02026
686891,NA,M,NA,NA,NA,677971,677822,NA,HSM02128,2100,LT,HSM02028,HSF02013
690321,NA,M,NA,NA,NA,682451,678102,NA,HSM02129,2100,LB,HSM02029,HSF02041
686901,NA,M,NA,NA,NA,677991,677942,NA,HSM02130,2100,LT,HSM02030,HSF02025
686911,NA,M,NA,NA,NA,678001,680302,NA,HSM02131,2100,LB,HSM02031,HSF02021
686921,NA,M,NA,NA,NA,678011,678142,NA,HSM02132,2100,LT,HSM02032,HSF02045
690331,NA,M,NA,NA,NA,687201,678062,NA,HSM02133,2100,LT,HSM02033,HSF02037
690341,NA,M,NA,NA,NA,678031,677732,NA,HSM02134,2100,LT,HSM02034,HSF02004
