ID.F51,CC,Sex,FamNo,DOB,HomeCage,Sire.ID,Dam.ID,Transpondernumber,SW.ID,Generation,EarPunch,Sire.SW.ID,Dam.SW.ID
631991,Black hood,M,NA,27-Oct,NA,630141,631462,314,HSM0815,800,LT,HSM0715,HSF0716
633001,Black hood,M,NA,11-Nov,NA,627391,627402,349,HSM0816,800,LB,HSM0716,HSF0717
632471,Black hood,M,NA,23-Oct,NA,627401,627412,294,HSM0817,800,LB,HSM0717,HSF0718
631591,Brown,M,NA,27-Oct,NA,631101,630542,316,HSM0818,800,LM,HSM0718,HSF0719
632631,Black,M,NA,1-Nov,NA,630541,631232,327,HSM0819,800,LT,HSM0719,HSF0720
633131,Brown,M,NA,24-Nov,NA,629123,630552,369,HSM0820,800,LB,HSM0720,HSF0721
632771,Black,M,NA,6-Nov,NA,630551,631472,343,HSM0821,800,LB,HSM0721,HSF0722B
632781,Black,M,NA,4-Nov,NA,630561,630572,335,HSM0822,800,LM,HSM0722,HSF0723
632011,Brown hood,M,NA,17-Nov,NA,631471,630612,358,HSM0822B,800,LB,HSM0722B,HSF0745
634141,Albino,M,NA,25-Jan,NA,630571,630332,386,HSM0823,800,LM,HSM0723,HSF0724
633041,Albino,M,NA,10-Nov,NA,630331,630272,345,HSM0824,800,LM,HSM0724,HSF0725
632491,Brown,M,NA,25-Oct,NA,630271,631122,304,HSM0825,800,LM,HSM0725,HSF0726
633051,Black,M,NA,18-Nov,NA,631121,631131,360,HSM0826,800,LT,HSM0726,HSF0727
632651,Brown,M,NA,29-Oct,NA,630181,631252,322,HSM0827,800,LM,HSM0727,HSF0728
632661,Brown hood,M,NA,30-Oct,NA,629643,630192,324,HSM0828,800,LB,HSM0728,HSF0729
630891,Brown hood,M,NA,26-Oct,NA,630191,630732,308,HSM0829,800,LT,HSM0729,HSF0730
631621,Brown hood,M,NA,12-Nov,NA,630731,631142,362,HSM0830,800,LM,HSM0730,HSF0731
631631,Black,M,NA,28-Oct,NA,631141,630582,320,HSM0831,800,LT,HSM0731,HSF0732
632791,Black hood,M,NA,5-Nov,NA,627551,627562,337,HSM0832,800,LB,HSM0732,HSF0733
635751,Black,M,NA,6-Apr,NA,627551,627562,418,HSM0832B,800,LT,HSM0732,HSF0733
632671,Brown hood,M,NA,2-Nov,NA,627561,627572,331,HSM0833,800,LB,HSM0733,HSF0734
633851,Albino,M,NA,29-Jan,NA,630751,632862,384,HSM0835,800,LM,HSM0735,HSF0715B
633551,Black hood,M,NA,20-Dec,NA,627591,630602,380,HSM0836,800,LB,HSM0736,HSF0737
632801,Brown,M,NA,5-Nov,NA,630601,630292,339,HSM0837,800,LT,HSM0737,HSF0738
633301,Black,M,NA,1-Dec,NA,630291,631062,375,HSM0838,800,LT,HSM0738,HSF0739
632031,Black,M,NA,16-Nov,NA,631061,627792,356,HSM0839,800,LM,HSM0739,HSF0740
632141,Black hood,M,NA,1-Nov,NA,629993,630302,329,HSM0840,800,LM,HSM0740,HSF0741
633461,Black hood,M,NA,9-Dec,NA,630301,630312,378,HSM0841,800,LM,HSM0741,HSF0742
632511,Black hood,M,NA,26-Oct,NA,630311,631412,310,HSM0842,800,LM,HSM0742,HSF0743
632001,Black hood,M,NA,26-Oct,NA,630781,631472,306,HSM0843,800,LB,HSM0743,HSF0722B
632681,Albino,M,NA,2-Nov,NA,627841,627852,333,HSM0845,800,LT,HSM0745,HSF0746
632811,Black hood,M,NA,6-Nov,NA,627851,627022,341,HSM0846,800,LM,HSM0746,HSF0701
636741,Black hood,F,NA,31-May,NA,630291,631062,485,HSF0838B,800,RT,HSM0738,HSF0739
