ID.F51,CC,Sex,FamNo,DOB,HomeCage,Sire.ID,Dam.ID,Transpondernumber,SW.ID,Generation,EarPunch,Sire.SW.ID,Dam.SW.ID
533247,Brown hood,F,NA,6/10/2007,NA,466923,498503,00068A2BC9,HSF0301,300,NA,HSM0201,HSF0226B
508494,Brown hood,F,NA,3/30/2007,NA,466933,466944,000696C1F3,HSF0302,300,NA,HSM0202,HSF0203
508495,Brown hood,F,NA,3/30/2007,NA,466933,466944,00068AD025,HSF0302B,300,NA,HSM0202,HSF0203
508504,Brown and white,F,NA,3/28/2007,NA,466943,466954,000695F581,HSF0303,300,NA,HSM0203,HSF0204
508515,Brown and white,F,NA,3/28/2007,NA,466953,466964,000696CD05,HSF0304,300,NA,HSM0204,HSF0205
508524,Albino,F,NA,3/30/2007,NA,466963,466974,000696AF78,HSF0305,300,NA,HSM0205,HSF0206
508538,Black hood,F,NA,3/30/2007,NA,466973,466984,000696D2C5,HSF0306,300,NA,HSM0206,HSF0207
508539,Black hood,F,NA,3/30/2007,NA,466973,466984,00068BD608,HSF0306B,300,NA,HSM0206,HSF0207
508547,Brown hood,F,NA,4/1/2007,NA,466983,466994,000696D834,HSF0307,300,NA,HSM0207,HSF0208
508555,black and white,F,NA,3/30/2007,NA,466993,467004,000696149E,HSF0308,300,NA,HSM0208,HSF0209
508556,Black hood,F,NA,3/30/2007,NA,466993,467004,00068BAB34,HSF0308B,300,NA,HSM0208,HSF0209
508567,Brown and white,F,NA,4/1/2007,NA,467003,467014,6961216,HSF0309,300,NA,HSM0209,HSF0210
508576,Brown and white,F,NA,4/1/2007,NA,467013,467024,000696AE65,HSF0310,300,NA,HSM0210,HSF0211
509545,Albino,F,NA,4/4/2007,NA,467023,467034,0006961AC7,HSF0311,300,NA,HSM0211,HSF0212
509558,Brown and white,F,NA,4/4/2007,NA,467033,469694,0006961A35,HSF0312,300,NA,HSM0212,HSF0213
5095610,Black and white,F,NA,4/6/2007,NA,469693,488474,000696AFED,HSF0313,300,NA,HSM0213,HSF0214
509577,Brown hood,F,NA,4/23/2007,NA,488471,469716,6961816,HSF0314,300,NA,HSM0214,HSF0215
509594,Brown hood,F,NA,4/4/2007,NA,469723,471303,000696BF97,HSF0316,300,NA,HSM0216,HSF0217
509602,Black & White,F,NA,4/8/2007,NA,471302,471314,000696DDB5,HSF0317,300,NA,HSM0217,HSF0218
509608,Black hood,F,NA,4/8/2007,NA,471302,471314,000689FF6F,HSF0317B,300,NA,HSM0217,HSF0218
509616,Black hood,F,NA,4/10/2007,NA,471313,471322,000696D4AD,HSF0318,300,NA,HSM0218,HSF0219
509627,Black hood,F,NA,4/8/2007,NA,471321,471334,00068ADBDF,HSF0319B,300,NA,HSM0219,HSF0220
509639,Brown hood,F,NA,4/9/2007,NA,471333,475152,000696DFE6,HSF0320,300,NA,HSM0220,HSF0221
5096310,Black hood,F,NA,4/9/2007,NA,471333,475152,00068BB414,HSF0320B,300,NA,HSM0220,HSF0221
509646,Albino,F,NA,4/8/2007,NA,475151,475164,6960639,HSF0321,300,NA,HSM0221,HSF0222
533259,Black and white,F,NA,6/10/2007,NA,475163,502253,00068A0E80,HSF0322,300,NA,HSM0222,HSF0223B
511628,Black & White,F,NA,4/10/2007,NA,475173,475184,000696B253,HSF0323,300,NA,HSM0223,HSF0224
511637,Brown hood,F,NA,4/13/2007,NA,475183,475194,000696132C,HSF0324,300,NA,HSM0224,HSF0225
511646,Brown hood,F,NA,4/13/2007,NA,475193,475202,00069605DA,HSF0325,300,NA,HSM0225,HSF0226
511655,Brown hood,F,NA,4/11/2007,NA,475201,475212,000696D882,HSF0326,300,NA,HSM0226,HSF0227
511665,Brown and white,F,NA,4/10/2007,NA,475211,488442,000695F7D5,HSF0327,300,NA,HSM0227,HSF0228
511674,Albino,F,NA,4/12/2007,NA,488441,488453,000696D19B,HSF0328,300,NA,HSM0228,HSF0229
511675,Brown hood,F,NA,4/12/2007,NA,488441,488453,00068BCC77,HSF0328B,300,NA,HSM0228,HSF0229
511687,Albino,F,NA,5/8/2007,NA,488451,475224,000696C516,HSF0329,300,NA,HSM0229,HSF0230
511698,Black and white,F,NA,4/30/2007,NA,475223,478294,000696D24B,HSF0330,300,NA,HSM0230,HSF0231
511706,Black hood,F,NA,4/17/2007,NA,478293,478304,000696BD65,HSF0331,300,NA,HSM0231,HSF0232
5117111,Brown and white,F,NA,4/15/2007,NA,478303,478314,000696B473,HSF0332,300,NA,HSM0232,HSF0233
5117110,Brown hood,F,NA,4/15/2007,NA,478303,478314,00068A1133,HSF0332B,300,NA,HSM0232,HSF0233
511727,Black hood,F,NA,4/17/2007,NA,478313,478324,00069604DA,HSF0333,300,NA,HSM0233,HSF0234
511728,Brown and white,F,NA,4/17/2007,NA,478313,478324,00068A0EAB,HSF0333B,300,NA,HSM0233,HSF0234
528394,Black hood,F,NA,6/15/2007,NA,478323,478372,00068BC775,HSF0334,300,NA,HSM0234,HSF0235
