ID.F51,CC,Sex,Fam.No,DOB,Home.Cage,Sire.ID,Dam.ID,Transponder.number,SW.ID,Generation,Ear.Punch,Sire.SW.ID,Dam.SW.ID
651442,Albino,F,NA,6/24/13,NA,646591,646602,875,HSF01301,1300,RT,HSM01201,HSF01202
650932,Black.Hood,F,NA,6/24/13,NA,646601,646612,877,HSF01302,1300,RM,HSM01202,HSF01203
650942,Brown,F,NA,6/24/13,NA,646611,646622,879,HSF01303,1300,RB,HSM01203,HSF01204
650952,Brown.Hood,F,NA,6/22/13,NA,646621,646632,871,HSF01304,1300,RM,HSM01204,HSF01205
650962,Brown.Hood,F,NA,7/17/13,NA,646631,646642,921,HSF01305,1300,RM,HSM01205,HSF01206
650972,Black,F,NA,6/22/13,NA,646641,646652,873,HSF01306,1300,RB,HSM01206,HSF01207
650992,Brown,F,NA,8/7/13,NA,646661,646672,960,HSF01308,1300,RB,HSM01208,HSF01209
652362,Black,F,NA,8/13/13,NA,646671,646682,968,HSF01309,1300,RT,HSM01209,HSF01210
651012,Brown.Hood,F,NA,7/4/13,NA,646681,646692,894,HSF01310,1300,RB,HSM01210,HSF01211
651022,Black.Hood,F,NA,7/25/13,NA,646691,646702,939,HSF01311,1300,RM,HSM01211,HSF01212
651032,Black.Hood,F,NA,6/21/13,NA,646701,646712,869,HSF01312,1300,RT,HSM01212,HSF01213
651042,Black.Hood,F,NA,6/29/13,NA,646711,646722,886,HSF01313,1300,RM,HSM01213,HSF01214
651052,Black.Hood,F,NA,6/27/13,NA,646721,646732,881,HSF01314,1300,RM,HSM01214,HSF01215
651062,Brown.Hood,F,NA,6/29/13,NA,646731,646742,887,HSF01315,1300,RB,HSM01215,HSF01216
651072,Brown.Hood,F,NA,7/27/13,NA,652291,650301,948,HSF01316,1300,RT,HSM01240B,HSF01217B
651082,Brown,F,NA,6/29/13,NA,647081,647092,890,HSF01317,1300,RT,HSM01217,HSF01218
651092,Brown,F,NA,8/6/13,NA,647091,646752,955,HSF01318,1300,RT,HSM01218,HSF01219
