IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
736721,BROWN,M,NA,NA,NA,733982,731692,NA,WHSM0601,3100,RB,WHSM0550,WHSF0501
736671,BRN HOOD,M,NA,NA,NA,731751,732082,NA,WHSM0602,3100,RM,WHSM0535,WHSF0502
737431,BROWN,M,NA,NA,NA,734372,731542,NA,WHSM0603,3100,LTRM,WHSM0557,WHSF0503
736701,ALBINO,M,NA,NA,NA,731671,731922,NA,WHSM0604,3100,LT,WHSM0542,WHSF0504
736731,BLK HOOD,M,NA,NA,NA,731501,732092,NA,WHSM0605,3100,LM,WHSM0534,WHSF0505
737041,BLACK,M,NA,NA,NA,731651,731552,NA,WHSM0606,3100,RM,WHSM0512,WHSF0506
736661,ALBINO,M,NA,NA,NA,731821,731712,NA,WHSM0607,3100,RT,WHSM0543,WHSF0507
736651,BRN HOOD,M,NA,NA,NA,732031,731522,NA,WHSM0608,3100,LT,WHSM0521,WHSF0508
736681,BLK HOOD,M,NA,NA,NA,732071,731892,NA,WHSM0609,3100,LT,WHSM0514,WHSF0509
737681,ALBINO,M,NA,NA,NA,734252,731902,NA,WHSM0610,3100,LTRM,WHSM0551,WHSF0510
736691,BLACK,M,NA,NA,NA,731681,731652,NA,WHSM0612,3100,LT,WHSM0526,WHSF0512
736741,BROWN,M,NA,NA,NA,734112,731562,NA,WHSM0613,3100,RM,WHSM0523,WHSF0513
736751,BROWN,M,NA,NA,NA,731711,732072,NA,WHSM0614,3100,RT,WHSM0507,WHSF0514
736761,BROWN,M,NA,NA,NA,733802,731942,NA,WHSM0615,3100,LT,WHSM0555,WHSF0515
736711,ALBINO,M,NA,NA,NA,734112,731562,NA,WHSM0616,3100,RM,WHSM0561,WHSF0516
737421,BRN HOOD,M,NA,NA,NA,733772,731702,NA,WHSM0617,3100,LTRC,WHSM0548,WHSF0517
737061,BROWN,M,NA,NA,NA,732231,732242,NA,WHSM0618,3100,LB,WHSM0541,WHSF0518
737201,BROWN,M,NA,NA,NA,732671,732282,NA,WHSM0619,3100,RC,WHSM0524,WHSF0519
736891,BRN HOOD,M,NA,NA,NA,734352,731882,NA,WHSM0620,3100,LB,WHSM0554,WHSF0520
737401,BRN HOOD,M,NA,NA,NA,731361,732032,NA,WHSM0621,3100,LMRT,WHSM0528,WHSF0521
736871,BLACK,M,NA,NA,NA,731741,731512,NA,WHSM0622,3100,LC,WHSM0538,WHSF0522
737241,BRN HOOD,M,NA,NA,NA,731911,732042,NA,WHSM0623,3100,RB,WHSM0513,WHSF0523
737342,BLACK,M,NA,NA,NA,731521,732672,NA,WHSM0624,3100,RC,WHSM0508,WHSF0524
736911,ALBINO,M,NA,NA,NA,732433,732062,NA,WHSM0625,3100,LM,WHSM0533,WHSF0525
736921,BLACK,M,NA,NA,NA,734242,731682,NA,WHSM0626,3100,LM,WHSM0553,WHSF0526
736931,BLK HOOD,M,NA,NA,NA,733812,731662,NA,WHSM0627,3100,LB,WHSM0564,WHSF0527
736971,BROWN,M,NA,NA,NA,731841,731362,NA,WHSM0628,3100,LB,WHSM0540,WHSF0528
737011,ALBINO,M,NA,NA,NA,733762,732322,NA,WHSM0630,3100,LB,WHSM0546,WHSF0530
737841,BLACK,M,NA,NA,NA,731921,731832,NA,WHSM0631,3100,LTRC,WHSM0504,WHSF0531
736901,BRN HOOD,M,NA,NA,NA,734392,732271,NA,WHSM0632,3100,LM,WHSM0560,WHSF0532
737221,BRN HOOD,M,NA,NA,NA,732061,732434,NA,WHSM0633,3100,RT,WHSM0525,WHSF0533
737311,BRN HOOD,M,NA,NA,NA,731831,731502,NA,WHSM0634,3100,RC,WHSM0531,WHSF0534
736981,BLACK,M,NA,NA,NA,732321,731752,NA,WHSM0635,3100,RT,WHSM0530,WHSF0535
737051,BROWN,M,NA,NA,NA,734362,732292,NA,WHSM0636,3100,LC,WHSM0556,WHSF0536
736861,BLK HOOD,M,NA,NA,NA,733821,731982,NA,WHSM0637,3100,LC,WHSM0565,WHSF0537
736881,BLACK,M,NA,NA,NA,731881,731742,NA,WHSM0638,3100,LB,WHSM0520,WHSF0538
738781,ALBINO,M,NA,NA,NA,734122,732052,NA,WHSM0639,3100,LTRC,WHSM0563,WHSF0539
738741,BLK HOOD,M,NA,NA,NA,731901,731842,NA,WHSM0640,3100,RC,WHSM0510,WHSF0540
737561,BLACK,M,NA,NA,NA,731951,732232,NA,WHSM0641,3100,LMRM,WHSM0544,WHSF0541
737191,BRN HOOD,M,NA,NA,NA,731541,731672,NA,WHSM0642,3100,LC,WHSM0503,WHSF0542
737251,BRN HOOD,M,NA,NA,NA,731551,731822,NA,WHSM0643,3100,LTRT,WHSM0506,WHSF0543
737181,ALBINO,M,NA,NA,NA,731871,731952,NA,WHSM0644,3100,LC,WHSM0545,WHSF0544
737231,BLACK,M,NA,NA,NA,733792,731872,NA,WHSM0645,3100,RB,WHSM0552,WHSF0545
737411,BLACK,M,NA,NA,NA,731891,733761,NA,WHSM0646,3100,LBRT,WHSM0509,WHSF0546
738531,BLK HOOD,M,NA,NA,NA,734102,734001,NA,WHSM0647,3100,LBRB,WHSM0559,WHSF0547
737351,ALBINO,M,NA,NA,NA,731561,733771,NA,WHSM0648,3100,RC,WHSM0516,WHSF0548
736991,BLK HOOD,M,NA,NA,NA,733992,733781,NA,WHSM0649,3100,RT,WHSM0562,WHSF0549
737821,BLACK ,M,NA,NA,NA,731511,733981,NA,WHSM0650,3100,LTRM,WHSM0522,WHSF0550
737851,BLACK,M,NA,NA,NA,731941,734251,NA,WHSM0651,3100,LTRT,WHSM0515,WHSF0551
737261,ALBINO,M,NA,NA,NA,734382,733791,NA,WHSM0652,3100,LBRT,WHSM0527,WHSF0552
737471,ALBINO,M,NA,NA,NA,732241,734241,NA,WHSM0653,3100,LTRT,WHSM0518,WHSF0553
737281,BLK HOOD,M,NA,NA,NA,732831,734351,NA,WHSM0654,3100,RM,WHSM0532,WHSF0554
737361,ALBINO,M,NA,NA,NA,732091,733801,NA,WHSM0655,3100,RB,WHSM0505,WHSF0555
737321,BROWN,M,NA,NA,NA,731701,734361,NA,WHSM0656,3100,LTRT,WHSM0517,WHSF0556
738751,BLACK,M,NA,NA,NA,733782,734371,NA,WHSM0657,3100,LMRB,WHSM0549,WHSF0557
737701,ALBINO,M,NA,NA,NA,734002,734101,NA,WHSM0659,3100,LMRT,WHSM0547,WHSF0559
737371,BRN HOOD,M,NA,NA,NA,732051,734391,NA,WHSM0660,3100,LMRM,WHSM0539,WHSF0560
737271,BRN HOOD,M,NA,NA,NA,731981,734111,NA,WHSM0661,3100,LTRB,WHSM0537,WHSF0561
737441,BLACK,M,NA,NA,NA,732281,733991,NA,WHSM0662,3100,LTRB,WHSM0519,WHSF0562
737671,BRN HOOD,M,NA,NA,NA,731691,734121,NA,WHSM0663,3100,LMRB,WHSM0501,WHSF0563
737331,BRN HOOD,M,NA,NA,NA,732081,733811,NA,WHSM0664,3100,LTRM,WHSM0502,WHSF0564
737451,BLK HOOD,M,NA,NA,NA,732291,733822,NA,WHSM0665,3100,RB,WHSM0536,WHSF0565
737831,BRN HOOD,M,NA,NA,NA,735051,735044,NA,WHSM0607B,3100,LMRC,WHSM0561B,WHSF0507B
