IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
741551,BRN HOOD,M,NA,NA,NA,736971,736722,NA,WHSM0701,3200,LT,WHSM0628,WHSF0601
741891,BRN HOOD,M,NA,NA,NA,737371,736672,NA,WHSM0702,3200,LB,WHSM0660,WHSF0602
741661,ALBINO,M,NA,NA,NA,736661,737432,NA,WHSM0703,3200,LB,WHSM0607,WHSF0603
742021,ALBINO,M,NA,NA,NA,737701,736702,NA,WHSM0704,3200,LBRB,WHSM0659,WHSF0604
741361,BLK HOOD,M,NA,NA,NA,737221,736732,NA,WHSM0705,3200,LM,WHSM0633,WHSF0605
741251,BLACK,M,NA,NA,NA,736991,737042,NA,WHSM0706,3200,LTRT,WHSM0649,WHSF0606
741401,ALBINO,M,NA,NA,NA,737191,736662,NA,WHSM0707,3200,LM,WHSM0642,WHSF0607
742321,ALBINO,M,NA,NA,NA,737181,736652,NA,WHSM0708,3200,LMRT,WHSM0644,WHSF0608
741981,ALBINO,M,NA,NA,NA,737681,736682,NA,WHSM0709,3200,LBRB,WHSM0610,WHSF0609
741951,BLK HOOD,M,NA,NA,NA,736751,737682,NA,WHSM0710,3200,LMRB,WHSM0614,WHSF0610
742361,BLK HOOD,M,NA,NA,NA,737471,736692,NA,WHSM0712,3200,LMRC,WHSM0653,WHSF0612
741341,BROWN,M,NA,NA,NA,736881,736742,NA,WHSM0713,3200,RB,WHSM0638,WHSF0613
741941,BRN HOOD,M,NA,NA,NA,737331,736752,NA,WHSM0714,3200,LC,WHSM0664,WHSF0614
742001,BLACK,M,NA,NA,NA,737841,736762,NA,WHSM0715,3200,LTRB,WHSM0631,WHSF0615
742041,BROWN,M,NA,NA,NA,737421,736712,NA,WHSM0716,3200,RM,WHSM0617,WHSF0616
741351,BROWN,M,NA,NA,NA,737061,737422,NA,WHSM0717,3200,LT,WHSM0618,WHSF0617
741451,BLACK,M,NA,NA,NA,736681,737062,NA,WHSM0718,3200,LC,WHSM0609,WHSF0618
741281,BLACK,M,NA,NA,NA,737261,737202,NA,WHSM0719,3200,LB,WHSM0652,WHSF0619
741111,BLACK,M,NA,NA,NA,736981,736892,NA,WHSM0720,3200,LT,WHSM0635,WHSF0620
741561,BLK HOOD,M,NA,NA,NA,737671,737402,NA,WHSM0721,3200,LC,WHSM0663,WHSF0621
741881,BLK HOOD,M,NA,NA,NA,737361,736872,NA,WHSM0722,3200,LTRT,WHSM0655,WHSF0622
742051,BLACK,M,NA,NA,NA,737851,737242,NA,WHSM0723,3200,LMRM,WHSM0651,WHSF0623
741221,BLACK,M,NA,NA,NA,737411,737343,NA,WHSM0724,3200,RT,WHSM0646,WHSF0624
741421,ALBINO,M,NA,NA,NA,737231,736912,NA,WHSM0725,3200,RB,WHSM0645,WHSF0625
741791,BLK HOOD,M,NA,NA,NA,737281,736922,NA,WHSM0726,3200,LTRM,WHSM0654,WHSF0626
741911,BROWN,M,NA,NA,NA,737431,736932,NA,WHSM0727,3200,RC,WHSM0603,WHSF0627
