ID.F51,CC,Sex,FamNo,DOB,HomeCage,Sire.ID,Dam.ID,Transpondernumber,SW.ID,Generation,EarPunch,Sire.SW.ID,Dam.SW.ID
466924,Black hood,F,NA,10/1/06,NA,440772,441941,000696CEF3,HSF0201,200,LT,HSM0101,HSF0102
466934,Black hood,F,NA,10/1/06,NA,441942,438741,000696BFAF,HSF0202,200,LB,HSM0102,HSF0103
466944,Black hood,F,NA,10/1/06,NA,438742,440793,6960054,HSF0203,200,LC,HSM0103,HSF0104
466954,Brown,F,NA,10/1/06,NA,440792,438752,000696FCD1,HSF0204,200,RLM,HSM0104,HSF0105
466964,Black hood,F,NA,10/10/06,NA,438751,438806,000696DF35,HSF0205,200,RM,HSM0105,HSF0106
466974,Albino,F,NA,10/8/06,NA,438805,439881,000696BB9B,HSF0206,200,LT,HSM0106,HSF0107
466984,Black hood,F,NA,10/23/06,NA,439882,439872,000696BBDD,HSF0207,200,LT,HSM0107,HSF0108
466994,Brown hood,F,NA,10/11/06,NA,439871,440822,000696DED5,HSF0208,200,LB,HSM0108,HSF0109
467004,Black,F,NA,10/20/06,NA,440821,433042,000696C635,HSF0209,200,RM,HSM0109,HSF0110
467014,Brown,F,NA,10/18/06,NA,433041,440801,000696D27D,HSF0210,200,LT,HSM0110,HSF0111
467024,Albino,F,NA,10/18/06,NA,440802,438734,6.96E+61,HSF0211,200,LB,HSM0111,HSF0112
467034,Black hood,F,NA,10/20/06,NA,438733,433031,000696AA3A,HSF0212,200,LT,HSM01120,HSF0113
469694,Brown,F,NA,11/6/06,NA,433032,438771,000696C6CC,HSF0213,200,LB,HSM0113,HSF0114
488474,Black hood,F,NA,1/25/07,NA,438772,478213,6962740,HSF0214,200,LB,HSM0114,HSF0139B
469716,Black,F,NA,10/26/06,NA,439863,438782,00069622F0,HSF0215,200,RM,HSM0115,HSF0116
469724,Black,F,NA,10/29/06,NA,438781,438631,000696C800,HSF0216,200,LT,HSM0116,HSF0117
498493,Black and white,F,NA,1/27/07,NA,438781,438631,000696DE17,HSF0216b,200,RT,HSM0116,HSF0117
471303,Albino,F,NA,11/2/06,NA,438632,447911,000696C820,HSF0217,200,RT,HSM0117,HSF0118
504013,Albino,F,NA,2/18/07,NA,438632,447911,000696CF9D,HSF0217b,200,RT,HSM0117,HSF0118
471314,Black hood,F,NA,11/1/06,NA,447912,441935,000696B338,HSF0218,200,RM,HSM0118,HSF0119
471322,Black,F,NA,11/14/06,NA,441934,438891,0006961CD7,HSF0219,200,RM,HSM0119,HSF0120
471334,Black,F,NA,11/1/06,NA,438892,447802,000696B7E2,HSF0220,200,LT,HSM0120,HSF0121
475152,Brown hood,F,NA,11/9/06,NA,447801,438796,000696E00E,HSF0221,200,RT,HSM0121,HSF0122
475164,?,F,NA,11/9/06,NA,438795,455951,000695FF7A,HSF0222,200,RB,HSM0122,HSF0123
475174,Black,F,NA,11/10/06,NA,455952,455964,000696A89E,HSF0223,200,LT,HSM0123,HSF0124
502253,Black,F,NA,2/15/07,NA,455952,455964,000696DECB,HSF0223b,200,RB,HSM0123,HSF0124
475184,Brown hood,F,NA,11/10/06,NA,455963,459251,000696A9B1,HSF0224,200,LM,HSM0124,HSF0125
475194,Black,F,NA,11/19/06,NA,459252,456031,000696CA5D,HSF0225,200,RC,HSM0125,HSF0126
475202,Albino,F,NA,11/17/06,NA,456032,449423,000696DEBC,HSF0226,200,LM,HSM0126,HSF0127
498503,Albino,F,NA,1/27/07,NA,456032,449423,000696BB3F,HSF0226b,200,LM,HSM0126,HSF0127
475212,Black,F,NA,12/18/06,NA,449424,447794,6.96E+13,HSF0227,200,LT,HSM0127,HSF0128
488442,Brown hood,F,NA,1/11/07,NA,447793,478254,000695FF4C,HSF0228,200,RM,HSM0128,HSF0129
488453,Brown,F,NA,2/8/07,NA,478253,447748,0006960EA6,HSF0229,200,RC,HSM0129,HSF0130
475224,Brown hood,F,NA,11/27/06,NA,447747,456054,000695F72F,HSF0230,200,RLM,HSM0130,HSF0131
478294,Black hood,F,NA,11/25/06,NA,456053,447762,00069609DE,HSF0231,200,LT,HSM0131,HSF0132
478304,Black,F,NA,11/27/06,NA,447761,456003,000696DEAB,HSF0232,200,LB,HSM0132,HSF0133
504883,Black and white,F,NA,2/26/07,NA,447761,456003,00068B81C3,HSF0232b,200,LT,HSM0132,HSF0133
478314,Brown hood,F,NA,11/27/06,NA,456002,449414,000696AECC,HSF0233,200,RM,HSM0133,HSF0134
478324,Black hood,F,NA,11/27/06,NA,449413,455994,000696B041,HSF0234,200,LC,HSM0134,HSF0135
478372,Albino,F,NA,12/4/06,NA,455993,455971,000696C21C,HSF0235,200,LT,HSM0135,HSF0136
478382,Black,F,NA,11/28/06,NA,455972,456044,000696DD54,HSF0236,200,RM,HSM0136,HSF0137
