IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
668442,Brown Hood,F,NA,10/2/2014,NA,665151,667902,1506,HSF01701,1700,RT,HSM01601,HSF01621B
668602,Brown,F,NA,9/3/2014,NA,663101,663452,1470,HSF01702,1700,RT,HSM01602,HSF01634
666852,Black,F,NA,7/28/2014,NA,663351,663052,1431,HSF01703,1700,RT,HSM01603,HSF01623
667242,Brown,F,NA,9/15/2014,NA,665321,666412,1492,HSF01704,1700,RM,HSM01604,HSF01632C
666862,Brown hood,F,NA,7/18/2014,NA,663111,663082,1399,HSF01705,1700,RT,HSM01605,HSF01646
666872,Brown,F,NA,8/15/2014,NA,662981,663362,1451,HSF01706,1700,RT,HSM01606,HSF01616
666882,Black,F,NA,7/17/2014,NA,662991,663142,1385,HSF01707,1700,RB,HSM01607,HSF01619
666892,Brown hood,F,NA,8/8/2014,NA,664251,664022,1449,HSF01708,1700,RB,HSM01608,HSF01641
667372,Albino,F,NA,9/26/2014,NA,665161,666152,1500,HSF01709,1700,RB,HSM01609,HSF01614B
666902,Black hood,F,NA,7/18/2014,NA,663011,663872,1397,HSF01710,1700,RB,HSM01610,HSF01638
666912,Black hood,F,NA,7/17/2014,NA,663021,663072,1391,HSF01711,1700,RB,HSM01611,HSF01644
666922,Albino,F,NA,7/28/2014,NA,663031,663402,1433,HSF01712,1700,RM,HSM01612,HSF01625
666932,Albino,F,NA,7/29/2014,NA,663121,663742,1435,HSF01713,1700,RB,HSM01613,HSF01643
666942,Albino,F,NA,7/16/2014,NA,663711,663002,1375,HSF01714,1700,RT,HSM01614,HSF01608
666952,Brown,F,NA,7/17/2014,NA,663131,663202,1389,HSF01715,1700,RM,HSM01615,HSF01636
666962,Black hood,F,NA,7/17/2014,NA,663361,662982,1381,HSF01716,1700,RT,HSM01616,HSF01606
666972,Brown hood,F,NA,7/18/2014,NA,663371,663432,1395,HSF01717,1700,RM,HSM01617,HSF01632
666982,Brown,F,NA,7/17/2014,NA,663041,663152,1387,HSF01718,1700,RT,HSM01618,HSF01620
