IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
694481,NA,M,NA,NA,NA,686661,686932,NA,HSM02201,2200,NA,HSM02101,HSF02135
694021,NA,M,NA,NA,NA,686671,687072,NA,HSM02202,2200,NA,HSM02102,HSF02153
695151,NA,M,NA,NA,NA,692901,687052,NA,HSM02203,2200,NA,HSM02103,HSF02150
695161,NA,M,NA,NA,NA,690951,687092,NA,HSM02204,2200,NA,HSM02104,HSF02155
694031,NA,M,NA,NA,NA,686691,687082,NA,HSM02205,2200,NA,HSM02105,HSF02154
693131,NA,M,NA,NA,NA,686701,687002,NA,HSM02206,2200,NA,HSM02106,HSF02143
694491,NA,M,NA,NA,NA,686711,690352,NA,HSM02207,2200,NA,HSM02107,HSF02162
694501,NA,M,NA,NA,NA,686721,688812,NA,HSM02208,2200,NA,HSM02108,HSF02136
694041,NA,M,NA,NA,NA,686731,687142,NA,HSM02209,2200,NA,HSM02109,HSF02163
694051,NA,M,NA,NA,NA,686741,686792,NA,HSM02210,2200,NA,HSM02110,HSF02117
694061,NA,M,NA,NA,NA,686751,689972,NA,HSM02211,2200,NA,HSM02111,HSF02146
702151,NA,M,NA,NA,NA,697341,696211,NA,HSM02207B,2200,NA,HSM02107B,HSF02120B
696611,NA,M,NA,NA,NA,686771,687862,NA,HSM02213,2200,NA,HSM02113,HSF02115
697641,NA,M,NA,NA,NA,690301,687892,NA,HSM02214,2200,NA,HSM02114,HSF02152
694081,NA,M,NA,NA,NA,687861,686682,NA,HSM02215,2200,NA,HSM02115,HSF02103
695141,NA,M,NA,NA,NA,686781,690302,NA,HSM02216,2200,NA,HSM02116,HSF02114
694511,NA,M,NA,NA,NA,686791,686752,NA,HSM02217,2200,NA,HSM02117,HSF02111
696311,NA,M,NA,NA,NA,690311,687022,NA,HSM02218,2200,NA,HSM02118,HSF02145
694091,NA,M,NA,NA,NA,686801,687042,NA,HSM02219,2200,NA,HSM02119,HSF02149
693141,NA,M,NA,NA,NA,686811,686712,NA,HSM02220,2200,NA,HSM02120,HSF02107
694101,NA,M,NA,NA,NA,686821,687152,NA,HSM02221,2200,NA,HSM02121,HSF02164
696301,NA,M,NA,NA,NA,686831,686742,NA,HSM02222,2200,NA,HSM02122,HSF02110
693151,NA,M,NA,NA,NA,686841,686912,NA,HSM02223,2200,NA,HSM02123,HSF02131
694521,NA,M,NA,NA,NA,686851,689901,NA,HSM02224,2200,NA,HSM02124,HSF02120
694531,NA,M,NA,NA,NA,686861,690332,NA,HSM02225,2200,NA,HSM02125,HSF02133
694541,NA,M,NA,NA,NA,686871,690322,NA,HSM02226,2200,NA,HSM02126,HSF02129
694551,NA,M,NA,NA,NA,686881,686992,NA,HSM02227,2200,NA,HSM02127,HSF02142
693161,NA,M,NA,NA,NA,686891,687122,NA,HSM02228,2200,NA,HSM02128,HSF02159
694111,NA,M,NA,NA,NA,690321,686822,NA,HSM02229,2200,NA,HSM02129,HSF02121
694561,NA,M,NA,NA,NA,686901,686882,NA,HSM02230,2200,NA,HSM02130,HSF02127
693171,NA,M,NA,NA,NA,686911,686842,NA,HSM02231,2200,NA,HSM02131,HSF02123
693181,NA,M,NA,NA,NA,686921,686902,NA,HSM02232,2200,NA,HSM02132,HSF02130
