IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
745641,BRN HOOD,M,NA,NA,NA,742071,741552,NA,WHSM0801,3300,RT,WHSM0751,WHSF0701
748301,BLK HOOD,M,NA,NA,NA,742071,741552,NA,WHSM0801B,3300,LBRT,WHSM0751,WHSF0701
745301,ALBINO,M,NA,NA,NA,741401,741892,NA,WHSM0802,3300,RC,WHSM0707,WHSF0702
745771,BROWN,M,NA,NA,NA,741141,741662,NA,WHSM0803,3300,LTRB,WHSM0749,WHSF0703
746965,BLK HOOD,M,NA,NA,NA,741141,741662,NA,WHSM0803B,3300,LTRB,WHSM0749,WHSF0703
745951,BLK HOOD,M,NA,NA,NA,741271,742022,NA,WHSM0804,3300,RB,WHSM0762,WHSF0704
745761,BLACK,M,NA,NA,NA,742081,741362,NA,WHSM0805,3300,RB,WHSM0707B,WHSF0705
745631,ALBINO,M,NA,NA,NA,741921,741252,NA,WHSM0806,3300,LB,WHSM0747,WHSF0706
748141,BROWN,M,NA,NA,NA,741921,741252,NA,WHSM0806B,3300,LMRC,WHSM0747,WHSF0706
745621,BLACK,M,NA,NA,NA,742041,741402,NA,WHSM0807,3300,LB,WHSM0716,WHSF0707
745521,BROWN,M,NA,NA,NA,742173,742082,NA,WHSM0807B,3300,RC,WHSM0716,WHSF0707
745832,BROWN,M,NA,NA,NA,741211,742322,NA,WHSM0808,3300,LBRB,WHSM0730,WHSF0708
747061,BRN HOOD,M,NA,NA,NA,741211,742322,NA,WHSM0808B,3300,LTRC,WHSM0730,WHSF0708
745371,BRN HOOD,M,NA,NA,NA,741671,741982,NA,WHSM0809,3300,LMRM,WHSM0748,WHSF0709
745851,BLK HOOD,M,NA,NA,NA,742281,741952,NA,WHSM0810,3300,LC,WHSM0745,WHSF0710
745911,BLACK,M,NA,NA,NA,741481,742362,NA,WHSM0812,3300,LTRT,WHSM0737,WHSF0712
748041,BLACK,M,NA,NA,NA,741481,742362,NA,WHSM0812B,3300,LCRB,WHSM0737,WHSF0712
745041,BLK HOOD,M,NA,NA,NA,741561,741342,NA,WHSM0813,3300,LT,WHSM0721,WHSF0713
747611,BRN HOOD,M,NA,NA,NA,741561,741342,NA,WHSM0813B,3300,LMRC,WHSM0721,WHSF0713
745061,BRN HOOD,M,NA,NA,NA,741931,741942,NA,WHSM0814,3300,RM,WHSM0739,WHSF0714
745311,BROWN,M,NA,NA,NA,741641,742002,NA,WHSM0815,3300,RT,WHSM0750,WHSF0715
745431,BRN HOOD,M,NA,NA,NA,741451,742042,NA,WHSM0816,3300,RB,WHSM0718,WHSF0716
745281,BLK HOOD,M,NA,NA,NA,741171,741352,NA,WHSM0817,3300,RM,WHSM0746,WHSF0717
747521,BLACK,M,NA,NA,NA,741171,741352,NA,WHSM0817B,3300,LBRM,WHSM0746,WHSF0717
745121,BRN HOOD,M,NA,NA,NA,741551,741452,NA,WHSM0818,3300,LM,WHSM0701,WHSF0718
746581,BLACK,M,NA,NA,NA,743391,742371,NA,WHSM0819,3300,LTRC,WHSM0731,WHSF0719
745031,BROWN,M,NA,NA,NA,741121,741112,NA,WHSM0820,3300,LT,WHSM0764,WHSF0720
745611,BRN HOOD,M,NA,NA,NA,741981,741562,NA,WHSM0821,3300,LC,WHSM0709,WHSF0721
746891,BRN HOOD,M,NA,NA,NA,741981,741562,NA,WHSM0821B,3300,LTRB,WHSM0709,WHSF0721
