IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
680531,Black hood,M,NA,NA,NA,670941,670972,1764,HSM01901,1900,LB,HSM01801,HSF01837
674051,Brown hood,M,NA,NA,NA,671951,670072,1729,HSM01902,1900,LT,HSM01802,HSF01839
672011,Brown hood,M,NA,NA,NA,669781,670152,1686,HSM01903,1900,LT,HSM01803,HSF01826
675911,NA,M,NA,NA,NA,679271,670292,NA,HSM01904,1900,NA,HSM01804,HSF01836
672021,Black,M,NA,NA,NA,669791,669942,1666,HSM01905,1900,LB,HSM01805,HSF01838
676931,Brown hood,M,NA,NA,NA,669801,670112,1733,HSM01906,1900,LB,HSM01806,HSF01819
674061,Black hood,M,NA,NA,NA,669811,670092,1677,HSM01907,1900,LT,HSM01807,HSF01863
673611,Albino,M,NA,NA,NA,669821,669922,1644,HSM01908,1900,LT,HSM01808,HSF01855
675241,Black hood,M,NA,NA,NA,672481,670922,1759,HSM01909,1900,LM,HSM01809,HSF01815
676941,Black hood,M,NA,NA,NA,669831,671962,1747,HSM01910,1900,LT,HSM01810,HSF01860
675251,Brown hood,M,NA,NA,NA,673931,669982,1745,HSM01911,1900,LB,HSM01811,HSF01831
673621,Brown hood,M,NA,NA,NA,669851,669882,1634,HSM01912,1900,LT,HSM01812,HSF01821
675261,Albino,M,NA,NA,NA,670951,673702,1706,HSM01913,1900,LM,HSM01813,HSF01830
672821,Brown hood,M,NA,NA,NA,669861,669992,1688,HSM01914,1900,LB,HSM01814,HSF01828
674071,Black hood,M,NA,NA,NA,669871,670052,1638,HSM01915,1900,LB,HSM01815,HSF01802
672031,Brown hood,M,NA,NA,NA,669881,669852,1663,HSM01916,1900,LM,HSM01816,HSF01841
680741,Brown,M,NA,NA,NA,675001,669972,1769,HSM01917,1900,LB,HSM01817,HSF01805
675921,Brown hood,M,NA,NA,NA,669901,670102,1722,HSM01918,1900,LT,HSM01818,HSF01859
