ID.F51,CC,Sex,FamNo,DOB,HomeCage,Sire.ID,Dam.ID,Transpondernumber,SW.ID,Generation,EarPunch,Sire.SW.ID,Dam.SW.ID
640042,Albino,F,NA,11/20/10,NA,635091,635102,590,HSF01001,1000,RB,HSM0901,HSF0902
638602,Black,F,NA,10/29/10,NA,635101,636082,545,HSF01002,1000,RM,HSM0902,HSF0903
638612,Albino,F,NA,11/22/10,NA,635111,635122,593,HSF01003,1000,RM,HSM0903,HSF0904
645522,Black,F,NA,8/10/11,NA,635111,635122,717,HSF01003B,1000,RT,HSM0903,HSF0904
638622,Albino,F,NA,10/11/10,NA,635121,635132,520,HSF01004,1000,RM,HSM0904,HSF0905
638632,Brown hood,F,NA,10/15/10,NA,635131,635142,510,HSF01005,1000,RB,HSM0905,HSF0906
638642,Albino,F,NA,10/28/10,NA,635141,635894,539,HSF01006,1000,RM,HSM0906,HSF0907
638652,Brown,F,NA,10/15/10,NA,635893,636074,512,HSF01007,1000,RT,HSM0907,HSF0908
638662,Black hood,F,NA,10/14/10,NA,636073,635152,506,HSF01008,1000,RT,HSM0908,HSF0909
638672,Albino,F,NA,10/15/10,NA,635151,635162,514,HSF01009,1000,RM,HSM0909,HSF0910
638682,Brown,F,NA,10/15/10,NA,637603,635172,516,HSF01010,1000,RB,HSM0910,HSF0911
638692,Black hood,F,NA,10/15/10,NA,635171,635182,518,HSF01011,1000,RT,HSM0911,HSF0912
638702,Black hood,F,NA,10/14/10,NA,635181,635192,508,HSF01012,1000,RM,HSM0912,HSF0913
638792,Albino,F,NA,10/20/10,NA,635191,635202,522,HSF01013,1000,RB,HSM0913,HSF0914
638802,Black hood,F,NA,11/5/10,NA,635201,635212,561,HSF01014,1000,RT,HSM0914,HSF0915
638812,Black hood,F,NA,10/10/10,NA,635211,635222,524,HSF01015,1000,RT,HSM0915,HSF0916
638822,Black hood,F,NA,11/2/10,NA,635221,635232,555,HSF01016,1000,RT,HSM0916,HSF0917
638832,Brown hood,F,NA,11/5/10,NA,635231,635242,563,HSF01017,1000,RM,HSM0917,HSF0918
