ID.F51,CC,Sex,FamNo,DOB,HomeCage,Sire.ID,Dam.ID,Transpondernumber,SW.ID,Generation,EarPunch,Sire.SW.ID,Dam.SW.ID
567332,Albino,F,NA,11/26/07,NA,533246,508495,00068A29BC,HSF0401B,400,LB,HSM0301B,HSF0302B
572492,Brown hood,F,NA,11/18/07,NA,508493,508504,00068A09A4,HSF0402,400,LT,HSM0302,HSF0303
572502,Brown,F,NA,11/21/07,NA,508503,508515,00068A27EC,HSF0403,400,RB,HSM0303,HSF0304
572512,Black,F,NA,11/24/07,NA,508511,508524,00068AC5A1,HSF0404,400,RM,HSM0304,HSF0305
559792,Albino,F,NA,11/6/07,NA,508523,508538,00068A1950,HSF0405,400,RM,HSM0305,HSF0306
572522,Black hood,F,NA,11/23/07,NA,508532,508547,00068A23A0,HSF0406,400,LB,HSM0306,HSF0307
559812,Black,F,NA,11/10/07,NA,508544,508555,00068A2101,HSF0407,400,RM,HSM0307,HSF0308
572232,Brown hood,F,NA,11/19/07,NA,508565,508576,00068AC990,HSF0409,400,LB,HSM0309,HSF0310
572532,Black hood,F,NA,11/23/07,NA,508573,509545,00068BD8B2,HSF0410,400,RM,HSM0310,HSF0311
572542,Brown,F,NA,11/23/07,NA,509543,509558,00068A15A3,HSF0411,400,LT,HSM0311,HSF0312
572182,Black,F,NA,11/20/07,NA,509555,5095610,00068BCB73,HSF0412,400,RM,HSM0312,HSF0313
562682,Brown hood,F,NA,11/3/07,NA,509568,509577,00068A0ADC,HSF0413,400,RM,HSM0313,HSF0314
562692,Brown,F,NA,11/2/07,NA,509575,509583,00068AB826,HSF0414,400,RM,HSM0314,HSF0315
562702,Brown hood,F,NA,11/3/07,NA,509581,509594,00068A113E,HSF0415,400,LT,HSM0315,HSF0316
568682,Black hood,F,NA,11/25/07,NA,509593,509602,00068BBA22,HSF0416,400,RM,HSM0316,HSF0317
562722,Black hood,F,NA,11/2/07,NA,509601,509616,00068A2C3A,HSF0417,400,LT,HSM0317,HSF0318
568712,Brown hood,F,NA,11/30/07,NA,509611,509627,00068A04EC,HSF0418B,400,LT,HSM0318B,HSF0319B
568722,Black hood,F,NA,12/3/07,NA,509625,5096310,00068BD5D0,HSF0419B,400,LB,HSM0319B,HSF0320B
562752,Albino,F,NA,11/2/07,NA,509637,509646,00068A08D4,HSF0420,400,LB,HSM0320,HSF0321
562762,Brown,F,NA,11/2/07,NA,509642,533259,00068A04FC,HSF0421,400,RM,HSM0321,HSF0322
