IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
677701,Albino,M,NA,NA,NA,680531,674072,1899,HSM02001,2000,LM,HSM01901,HSF01915
677711,Brown hood,M,NA,NA,NA,674051,675312,1838,HSM02002,2000,LT,HSM01902,HSF01948
677721,Black,M,NA,NA,NA,672011,673572,1779,HSM02003,2000,LM,HSM01903,HSF01956
677731,Brown,M,NA,NA,NA,675911,672832,1966,HSM02004,2000,LB,HSM01904,HSF01923
677741,Black,M,NA,NA,NA,672021,675282,1809,HSM02005,2000,LT,HSM01905,HSF01925
681521,Black hood,M,NA,NA,NA,676931,676972,1853,HSM02006,2000,LB,HSM01906,HSF01946
677761,Black,M,NA,NA,NA,674061,672862,1789,HSM02007,2000,LT,HSM01907,HSF01932
677771,Albino,M,NA,NA,NA,673611,679192,1819,HSM02008,2000,LM,HSM01908,HSF01913
680291,Brown,M,NA,NA,NA,675241,673652,1881,HSM02009,2000,LT,HSM01909,HSF01941
677791,Brown hood,M,NA,NA,NA,676941,677062,1860,HSM02010,2000,LB,HSM01910,HSF01949
677801,Black,M,NA,NA,NA,675251,675292,1851,HSM02011,2000,RM,HSM01911,HSF01930
677811,Black,M,NA,NA,NA,673621,675942,1883,HSM02012,2000,M,HSM01912,HSF01933
677821,Black hood,M,NA,NA,NA,675261,673612,1834,HSM02013,2000,LM,HSM01913,HSF01908
677831,Brown,M,NA,NA,NA,672821,675912,1912,HSM02014,2000,LT,HSM01914,HSF01904
677841,Albino,M,NA,NA,NA,674071,673622,1799,HSM02015,2000,LM,HSM01915,HSF01912
677851,Albino,M,NA,NA,NA,672031,674122,1803,HSM02016,2000,LT,HSM01916,HSF01954
682431,Black,M,NA,NA,NA,680741,677082,1887,HSM02017,2000,LT,HSM01917,HSF01961
677871,Albino,M,NA,NA,NA,675921,672032,1925,HSM02018,2000,LT,HSM01918,HSF01916
681541,Brown hood,M,NA,NA,NA,676961,676982,1885,HSM02019,2000,LB,HSM01919,HSF01950
677891,Albino,M,NA,NA,NA,675271,675972,1820,HSM02020,2000,LT,HSM01920,HSF01958
680301,Black hood,M,NA,NA,NA,675931,675962,1836,HSM02021,2000,LB,HSM01921,HSF01947
677911,Brown hood,M,NA,NA,NA,674081,675302,1842,HSM02022,2000,LB,HSM01922,HSF01937
677921,Brown hood,M,NA,NA,NA,672831,675901,1815,HSM02023,2000,LT,HSM01923,HSF01901
677931,Albino,M,NA,NA,NA,673631,676992,1828,HSM02024,2000,LM,HSM01924,HSF01952
677941,Brown hood,M,NA,NA,NA,675281,674082,1870,HSM02025,2000,LM,HSM01925,HSF01922
677951,Brown hood,M,NA,NA,NA,672841,675252,1811,HSM02026,2000,LM,HSM01926,HSF01911
677963,Brown hood,M,NA,NA,NA,677091,677072,1888,HSM02027,2000,LM,HSM01927,HSF01929
677971,Brown,M,NA,NA,NA,672851,675332,1783,HSM02028,2000,LT,HSM01928,HSF01963
682451,Black,M,NA,NA,NA,677071,676932,1908,HSM02029,2000,LB,HSM01929,HSF01906
677991,Albino,M,NA,NA,NA,675291,673632,1868,HSM02030,2000,LT,HSM01930,HSF01924
678001,Brown hood,M,NA,NA,NA,673641,675322,1813,HSM02031,2000,LB,HSM01931,HSF01951
678011,Brown hood,M,NA,NA,NA,672861,675242,1826,HSM02032,2000,LT,HSM01932,HSF01909
687201,Albino,M,NA,NA,NA,675941,674062,1910,HSM02033,2000,LT,HSM01933,HSF01907
678031,Brown hood,M,NA,NA,NA,673551,674102,1904,HSM02034,2000,LT,HSM01934,HSF01943
678041,Brown hood,M,NA,NA,NA,672451,673672,1801,HSM02035,2000,LB,HSM01935,HSF01953
678051,Black,M,NA,NA,NA,672051,673682,1785,HSM02036,2000,LM,HSM01936,HSF01955
678061,Black,M,NA,NA,NA,679221,675932,1862,HSM02037,2000,LT,HSM01937,HSF01921
678071,Black,M,NA,NA,NA,672061,672461,1771,HSM02038,2000,LT,HSM01938,HSF01944
678081,Black,M,NA,NA,NA,675951,675922,1830,HSM02039,2000,LB,HSM01939,HSF01918
678091,Black,M,NA,NA,NA,674091,675992,1876,HSM02040,2000,LM,HSM01940,HSF01962
678101,Brown hood,M,NA,NA,NA,673651,672852,1787,HSM02041,2000,LB,HSM01941,HSF01928
678111,Black,M,NA,NA,NA,673661,673552,1795,HSM02042,2000,LB,HSM01942,HSF01934
678121,Brown hood,M,NA,NA,NA,674101,674052,1781,HSM02043,2000,LB,HSM01943,HSF01902
678131,Brown,M,NA,NA,NA,672462,672012,1793,HSM02044,2000,LM,HSM01944,HSF01903
678141,Brown,M,NA,NA,NA,674111,673662,1844,HSM02045,2000,LT,HSM01945,HSF01942
681551,Black,M,NA,NA,NA,676971,676942,1878,HSM02046,2000,LB,HSM01946,HSF01910
678161,Black,M,NA,NA,NA,675961,673642,1872,HSM02047,2000,LB,HSM01947,HSF01931
678171,Albino,M,NA,NA,NA,675311,672022,1824,HSM02048,2000,LB,HSM01948,HSF01905
678181,Brown,M,NA,NA,NA,677061,677092,1895,HSM02049,2000,LM,HSM01949,HSF01927
678191,Black hood,M,NA,NA,NA,676981,680742,1893,HSM02050,2000,LT,HSM01950,HSF01917
678201,Brown hood,M,NA,NA,NA,680211,674092,1891,HSM02051,2000,LB,HSM01951,HSF01940
678211,Brown,M,NA,NA,NA,676991,677002,1866,HSM02052,2000,LB,HSM01952,HSF01960
679561,Brown,M,NA,NA,NA,673671,672452,1858,HSM02053,2000,LM,HSM01953,HSF01935
678231,Brown,M,NA,NA,NA,674121,675952,1864,HSM02054,2000,LM,HSM01954,HSF01939
678241,Brown,M,NA,NA,NA,673681,672052,1846,HSM02055,2000,LM,HSM01955,HSF01936
678251,Black hood,M,NA,NA,NA,673571,675272,1822,HSM02056,2000,LM,HSM01956,HSF01920
678261,Albino,M,NA,NA,NA,674131,678472,1840,HSM02057,2000,LM,HSM01957,HSF01964
678271,Albino,M,NA,NA,NA,675971,674132,1848,HSM02058,2000,LB,HSM01958,HSF01957
680331,Brown hood,M,NA,NA,NA,675981,672842,1856,HSM02059,2000,LT,HSM01959,HSF01926
678291,Black hood,M,NA,NA,NA,677001,672822,1897,HSM02060,2000,LT,HSM01960,HSF01914
682461,Brown hood,M,NA,NA,NA,677081,676962,1902,HSM02061,2000,LT,HSM01961,HSF01919
678311,Brown,M,NA,NA,NA,675991,674112,1906,HSM02062,2000,LM,HSM01962,HSF01945
678321,Brown hood,M,NA,NA,NA,675331,675982,1832,HSM02063,2000,LT,HSM01963,HSF01959
678331,Brown hood,M,NA,NA,NA,673581,672062,1797,HSM02064,2000,LT,HSM01964,HSF01938
677702,Black hood,F,NA,NA,NA,680531,674072,1900,HSF02001,2000,RM,HSM01901,HSF01915
677712,Black hood,F,NA,NA,NA,674051,675312,1839,HSF02002,2000,RT,HSM01902,HSF01948
677722,Black hood,F,NA,NA,NA,672011,673572,1780,HSF02003,2000,RM,HSM01903,HSF01956
677732,Brown hood,F,NA,NA,NA,675911,672832,1967,HSF02004,2000,RT,HSM01904,HSF01923
677742,Albino,F,NA,NA,NA,672021,675282,1810,HSF02005,2000,RT,HSM01905,HSF01925
681522,Brown hood,F,NA,NA,NA,676931,676972,1855,HSF02006,2000,RB,HSM01906,HSF01946
677762,Brown hood,F,NA,NA,NA,674061,672862,1790,HSF02007,2000,RT,HSM01907,HSF01932
683032,Brown hood,F,NA,NA,NA,673611,679192,1850,HSF02008,2000,RT,HSM01908,HSF01913
680292,Albino,F,NA,NA,NA,675241,673652,1882,HSF02009,2000,RT,HSM01909,HSF01941
677792,Brown hood,F,NA,NA,NA,676941,677062,1861,HSF02010,2000,RB,HSM01910,HSF01949
677802,Brown hood,F,NA,NA,NA,675251,675292,1852,HSF02011,2000,RM,HSM01911,HSF01930
677812,Brown,F,NA,NA,NA,673621,675942,1884,HSF02012,2000,F,HSM01912,HSF01933
677822,Albino,F,NA,NA,NA,675261,673612,1835,HSF02013,2000,RM,HSM01913,HSF01908
677832,Brown hood,F,NA,NA,NA,672821,675912,1913,HSF02014,2000,RT,HSM01914,HSF01904
677842,Black hood,F,NA,NA,NA,674071,673622,1800,HSF02015,2000,RM,HSM01915,HSF01912
677852,Brown hood,F,NA,NA,NA,672031,674122,1804,HSF02016,2000,RT,HSM01916,HSF01954
685702,Brown,F,NA,NA,NA,680741,677082,1901,HSF02017,2000,RB,HSM01917,HSF01961
677872,Albino,F,NA,NA,NA,675921,672032,1926,HSF02018,2000,RT,HSM01918,HSF01916
681542,Brown hood,F,NA,NA,NA,676961,676982,1886,HSF02019,2000,RB,HSM01919,HSF01950
677892,Black,F,NA,NA,NA,675271,675972,1821,HSF02020,2000,RT,HSM01920,HSF01958
680302,Brown hood,F,NA,NA,NA,675931,675962,1837,HSF02021,2000,RB,HSM01921,HSF01947
677912,Brown hood,F,NA,NA,NA,674081,675302,1943,HSF02022,2000,RB,HSM01922,HSF01937
677922,Brown,F,NA,NA,NA,672831,675901,1816,HSF02023,2000,RT,HSM01923,HSF01901
677932,Albino,F,NA,NA,NA,673631,676992,1829,HSF02024,2000,RM,HSM01924,HSF01952
677942,Brown hood,F,NA,NA,NA,675281,674082,1871,HSF02025,2000,RM,HSM01925,HSF01922
677952,Brown hood,F,NA,NA,NA,672841,675252,1812,HSF02026,2000,RM,HSM01926,HSF01911
677964,Black hood,F,NA,NA,NA,677091,677072,1890,HSF02027,2000,RM,HSM01927,HSF01929
677972,Brown hood,F,NA,NA,NA,672851,675332,1784,HSF02028,2000,RT,HSM01928,HSF01963
682452,Brown,F,NA,NA,NA,677071,676932,1909,HSF02029,2000,RB,HSM01929,HSF01906
677992,Albino,F,NA,NA,NA,675291,673632,1869,HSF02030,2000,RT,HSM01930,HSF01924
678002,Black hood,F,NA,NA,NA,673641,675322,1814,HSF02031,2000,RB,HSM01931,HSF01951
678012,Brown hood,F,NA,NA,NA,672861,675242,1827,HSF02032,2000,RT,HSM01932,HSF01909
687202,Black hood,F,NA,NA,NA,675941,674062,1911,HSF02033,2000,RT,HSM01933,HSF01907
678032,Brown hood,F,NA,NA,NA,673551,674102,1905,HSF02034,2000,RT,HSM01934,HSF01943
678042,Brown hood,F,NA,NA,NA,672451,673672,1802,HSF02035,2000,RB,HSM01935,HSF01953
678052,Black,F,NA,NA,NA,672051,673682,1786,HSF02036,2000,RM,HSM01936,HSF01955
678062,Brown,F,NA,NA,NA,679221,675932,1863,HSF02037,2000,RT,HSM01937,HSF01921
678072,Albino,F,NA,NA,NA,672061,672461,1772,HSF02038,2000,RT,HSM01938,HSF01944
678082,Black,F,NA,NA,NA,675951,675922,1831,HSF02039,2000,RB,HSM01939,HSF01918
678092,Black hood,F,NA,NA,NA,674091,675992,1877,HSF02040,2000,RM,HSM01940,HSF01962
678102,Brown hood,F,NA,NA,NA,673651,672852,1788,HSF02041,2000,RB,HSM01941,HSF01928
678112,Black,F,NA,NA,NA,673661,673552,1796,HSF02042,2000,RB,HSM01942,HSF01934
678122,Albino,F,NA,NA,NA,674101,674052,1782,HSF02043,2000,RB,HSM01943,HSF01902
678132,Black,F,NA,NA,NA,672462,672012,1794,HSF02044,2000,RM,HSM01944,HSF01903
678142,Brown,F,NA,NA,NA,674111,673662,1845,HSF02045,2000,RT,HSM01945,HSF01942
681552,Black,F,NA,NA,NA,676971,676942,1879,HSF02046,2000,RB,HSM01946,HSF01910
678162,Albino,F,NA,NA,NA,675961,673642,1873,HSF02047,2000,RB,HSM01947,HSF01931
678172,Black,F,NA,NA,NA,675311,672022,1825,HSF02048,2000,RB,HSM01948,HSF01905
678182,Brown,F,NA,NA,NA,677061,677092,1896,HSF02049,2000,RM,HSM01949,HSF01927
