IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
670941,Black hood,M,NA,NA,NA,668441,667822,1628,HSM01801,1800,LT,HSM01701,HSF01761
671951,Brown hood,M,NA,NA,NA,668601,667192,1601,HSM01802,1800,LM,HSM01702,HSF01744
669781,Brown,M,NA,NA,NA,666851,667252,1542,HSM01803,1800,LM,HSM01703,HSF01756
679271,Brown Hood,M,NA,NA,NA,667241,667022,1753,HSM01804,1800,LT,HSM01704,HSF01723
669791,Black,M,NA,NA,NA,666861,667052,1533,HSM01805,1800,LM,HSM01705,HSF01727
669801,Brown hood,M,NA,NA,NA,666871,667282,1550,HSM01806,1800,LB,HSM01706,HSF01752
669811,Black hood,M,NA,NA,NA,666881,667232,1560,HSM01807,1800,LT,HSM01707,HSF01747
669821,Brown hood,M,NA,NA,NA,666891,667522,1544,HSM01808,1800,LB,HSM01708,HSF01724
672481,Black hood,M,NA,NA,NA,667371,667102,1622,HSM01809,1800,LB,HSM01709,HSF01734
669831,Black,M,NA,NA,NA,666901,667362,1548,HSM01810,1800,LM,HSM01710,HSF01722
673931,Brown hood,M,NA,NA,NA,666911,667542,1617,HSM01811,1800,LT,HSM01711,HSF01733
669851,Black hood,M,NA,NA,NA,666921,666962,1524,HSM01812,1800,LT,HSM01712,HSF01716
670951,Black hood,M,NA,NA,NA,666931,667532,1583,HSM01813,1800,LB,HSM01713,HSF01729
669861,Black hood,M,NA,NA,NA,666941,667112,1566,HSM01814,1800,LM,HSM01714,HSF01735
669871,Brown hood,M,NA,NA,NA,666951,667172,1511,HSM01815,1800,LM,HSM01715,HSF01742
669881,Brown hood,M,NA,NA,NA,666961,666922,1527,HSM01816,1800,LB,HSM01716,HSF01712
675001,Brown,M,NA,NA,NA,666971,667092,1660,HSM01817,1800,LT,HSM01717,HSF01732
669901,Brown,M,NA,NA,NA,666981,667272,1537,HSM01818,1800,LB,HSM01718,HSF01748
670281,Brown Hood,M,NA,NA,NA,666991,667832,1661,HSM01819,1800,LM,HSM01719,HSF01759
670911,Albino,M,NA,NA,NA,667001,667382,1589,HSM01820,1800,LM,HSM01720,HSF01760
669911,Brown hood,M,NA,NA,NA,667011,667042,1515,HSM01821,1800,LT,HSM01721,HSF01726
671961,Brown,M,NA,NA,NA,667361,666902,1613,HSM01822,1800,LM,HSM01722,HSF01710
670291,Brown,M,NA,NA,NA,667021,667242,1572,HSM01823,1800,LT,HSM01723,HSF01704
669921,Albino,M,NA,NA,NA,667521,666892,1587,HSM01824,1800,LM,HSM01724,HSF01708
671971,Black hood,M,NA,NA,NA,667031,668032,1619,HSM01825,1800,LM,HSM01725,HSF01750
669931,Albino,M,NA,NA,NA,667041,667012,1513,HSM01826,1800,LB,HSM01726,HSF01721
669941,Black,M,NA,NA,NA,667051,666862,1509,HSM01827,1800,LT,HSM01727,HSF01705
669951,Albino,M,NA,NA,NA,667061,667142,1570,HSM01828,1800,LB,HSM01728,HSF01738
673701,Black hood,M,NA,NA,NA,667531,666932,1640,HSM01829,1800,LB,HSM01729,HSF01713
672001,Albino,M,NA,NA,NA,667071,668822,1624,HSM01830,1800,LT,HSM01730,HSF01749
672771,Brown,M,NA,NA,NA,667081,667312,1591,HSM01831,1800,LB,HSM01731,HSF01763
669971,Brown hood,M,NA,NA,NA,667091,666972,1574,HSM01832,1800,LM,HSM01732,HSF01717
669981,Brown,M,NA,NA,NA,667541,666912,1581,HSM01833,1800,LM,HSM01733,HSF01711
670921,Brown,M,NA,NA,NA,667101,667372,1579,HSM01834,1800,LT,HSM01734,HSF01709
669991,Brown hood,M,NA,NA,NA,667111,666942,1529,HSM01835,1800,LT,HSM01735,HSF01714
670001,Black hood,M,NA,NA,NA,667121,667552,1552,HSM01836,1800,LT,HSM01736,HSF01757
670011,Black,M,NA,NA,NA,667131,667212,1546,HSM01837,1800,LT,HSM01737,HSF01746
670021,Black,M,NA,NA,NA,667141,667062,1556,HSM01838,1800,LM,HSM01738,HSF01728
670031,Brown,M,NA,NA,NA,667151,667302,1558,HSM01839,1800,LB,HSM01739,HSF01754
670301,Brown hood,M,NA,NA,NA,667261,667202,1611,HSM01840,1800,LT,HSM01740,HSF01745
670041,Brown,M,NA,NA,NA,667161,667322,1562,HSM01841,1800,LM,HSM01741,HSF01764
670051,Black hood,M,NA,NA,NA,667171,666952,1520,HSM01842,1800,LB,HSM01742,HSF01715
670061,Albino,M,NA,NA,NA,667181,667292,1539,HSM01843,1800,LT,HSM01743,HSF01753
670071,Brown hood,M,NA,NA,NA,667191,668602,1564,HSM01844,1800,LB,HSM01744,HSF01702
670311,Brown,M,NA,NA,NA,667201,667262,1609,HSM01845,1800,LB,HSM01745,HSF01740
675681,Black hood,M,NA,NA,NA,667211,667132,1670,HSM01846,1800,LB,HSM01746,HSF01737
670091,Brown,M,NA,NA,NA,667231,666882,1655,HSM01847,1800,LB,HSM01747,HSF01707
670101,Black,M,NA,NA,NA,667271,666982,1593,HSM01848,1800,LT,HSM01748,HSF01718
673711,Brown hood,M,NA,NA,NA,668821,667072,1642,HSM01849,1800,LT,HSM01749,HSF01730
