IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID,,,,,,,,
713422,NA,F,NA,NA,NA,708911,708892,NA,HSF02525,2500,NA,HSM02425,HSF02423,,,,,,,,
713992,NA,F,NA,NA,NA,716871,709052,NA,HSF02525B,2500,NA,HSM02425B,HSF02439,,,,,,,,
713622,NA,F,NA,NA,NA,708921,708732,NA,HSF02526,2500,NA,HSM02426,HSF02407,,,,,,,,
713612,NA,F,NA,NA,NA,708931,708672,NA,HSF02527,2500,NA,HSM02427,HSF02401,,,,,,,,
713472,NA,F,NA,NA,NA,708941,709142,NA,HSF02528,2500,NA,HSM02428,HSF02448,,,,,,,,
714032,NA,F,NA,NA,NA,716961,708852,NA,HSF02528B,2500,NA,HSM02428B,HSF02419,,,,,,,,
713432,NA,F,NA,NA,NA,708951,709152,NA,HSF02529,2500,NA,HSM02429,HSF02449,,,,,,,,
713902,NA,F,NA,NA,NA,708961,708942,NA,HSF02530,2500,NA,HSM02430,HSF02428,,,,,,,,
714012,NA,F,NA,NA,NA,708971,716872,NA,HSF02531,2500,NA,HSM02431,HSF02425B,,,,,,,,
713952,NA,F,NA,NA,NA,708981,708882,NA,HSF02532,2500,NA,HSM02432,HSF02422,,,,,,,,
713572,NA,F,NA,NA,NA,708991,708932,NA,HSF02533,2500,NA,HSM02433,HSF02427,,,,,,,,
714052,NA,F,NA,NA,NA,709001,713052,NA,HSF02534,2500,NA,HSM02434,HSF02459,,,,,,,,
713542,NA,F,NA,NA,NA,709011,709062,NA,HSF02535,2500,NA,HSM02435,HSF02440,,,,,,,,
720172,NA,F,NA,NA,NA,709021,709002,NA,HSF02536,2500,NA,HSM02436,HSF02434,,,,,,,,
713672,NA,F,NA,NA,NA,709031,708972,NA,HSF02537,2500,NA,HSM02437,HSF02431,,,,,,,,
713632,NA,F,NA,NA,NA,709041,708902,NA,HSF02538,2500,NA,HSM02438,HSF02424,,,,,,,,
713522,NA,F,NA,NA,NA,709051,708712,NA,HSF02539,2500,NA,HSM02439,HSF02405,,,,,,,,
713642,NA,F,NA,NA,NA,709061,709012,NA,HSF02540,2500,NA,HSM02440,HSF02435,,,,,,,,
713842,NA,F,NA,NA,NA,709071,709042,NA,HSF02541,2500,NA,HSM02441,HSF02438,,,,,,,,
713692,NA,F,NA,NA,NA,709081,708722,NA,HSF02542,2500,NA,HSM02442,HSF02406,,,,,,,,
713442,NA,F,NA,NA,NA,709091,709212,NA,HSF02543,2500,NA,HSM02443,HSF02455,,,,,,,,
713972,NA,F,NA,NA,NA,711101,709162,NA,HSF02543B,2500,NA,HSM02443B,HSF02450,,,,,,,,
713872,NA,F,NA,NA,NA,709101,708792,NA,HSF02544,2500,NA,HSM02444,HSF02413,,,,,,,,
713652,NA,F,NA,NA,NA,709111,709172,NA,HSF02545,2500,NA,HSM02445,HSF02451,,,,,,,,
713822,NA,F,NA,NA,NA,709121,709272,NA,HSF02546,2500,NA,HSM02446,HSF02461,,,,,,,,
713452,NA,F,NA,NA,NA,709131,708702,NA,HSF02547,2500,NA,HSM02447,HSF02404,,,,,,,,
713722,NA,F,NA,NA,NA,709141,708682,NA,HSF02548,2500,NA,HSM02448,HSF02402,,,,,,,,
713732,NA,F,NA,NA,NA,709151,708983,NA,HSF02549,2500,NA,HSM02449,HSF02432B,,,,,,,,
713582,NA,F,NA,NA,NA,709161,708952,NA,HSF02550,2500,NA,HSM02450,HSF02429,,,,,,,,
713502,NA,F,NA,NA,NA,709171,708692,NA,HSF02551,2500,NA,HSM02451,HSF02403,,,,,,,,
713772,NA,F,NA,NA,NA,709181,709072,NA,HSF02552,2500,NA,HSM02452,HSF02441,,,,,,,,
713482,NA,F,NA,NA,NA,709191,709112,NA,HSF02553,2500,NA,HSM02453,HSF02445,,,,,,,,
713852,NA,F,NA,NA,NA,709201,709022,NA,HSF02554,2500,NA,HSM02454,HSF02436,,,,,,,,
713592,NA,F,NA,NA,NA,709211,709092,NA,HSF02555,2500,NA,HSM02455,HSF02443,,,,,,,,
713922,NA,F,NA,NA,NA,709231,708872,NA,HSF02557,2500,NA,HSM02457,HSF02421,,,,,,,,
713932,NA,F,NA,NA,NA,709233,708912,NA,HSF02557B,2500,NA,HSM02457B,HSF02425,,,,,,,,
713532,NA,F,NA,NA,NA,709241,708992,NA,HSF02558,2500,NA,HSM02458,HSF02433,,,,,,,,
713982,NA,F,NA,NA,NA,713051,709202,NA,HSF02559,2500,NA,HSM02459,HSF02454,,,,,,,,
713962,NA,F,NA,NA,NA,709261,711102,NA,HSF02560,2500,NA,HSM02460,HSF02443B,,,,,,,,
713702,NA,F,NA,NA,NA,709271,709122,NA,HSF02561,2500,NA,HSM02461,HSF02446,,,,,,,,
714042,NA,F,NA,NA,NA,709281,716962,NA,HSF02562,2500,NA,HSM02462,HSF02428B,,,,,,,,
713602,NA,F,NA,NA,NA,709291,709032,NA,HSF02563,2500,NA,HSM02463,HSF02437,,,,,,,,
713832,NA,F,NA,NA,NA,709301,708862,NA,HSF02564,2500,NA,HSM02464,HSF02420,,,,,,,,
