IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
731691,BRN HOOD,M,NA,NA,NA,727723,728661,NA,WHSM0501,3000,RM,WHSM0403,WHSF0401
732081,BROWN,M,NA,NA,NA,729351,728072,NA,WHSM0502,3000,LB,WHSM0444,WHSF0402
731541,BRN HOOD,M,NA,NA,NA,727724,727724,NA,WHSM0503,3000,RT,WHSM0405,WHSF0403
731921,ALBINO,M,NA,NA,NA,727724,727724,NA,WHSM0504,3000,LTRT,WHSM0417,WHSF0404
732091,BLK HOOD,M,NA,NA,NA,729521,728711,NA,WHSM0505,3000,RM,WHSM0440,WHSF0405
731551,BROWN,M,NA,NA,NA,727941,727754,NA,WHSM0506,3000,LT,WHSM0416,WHSF0406
731711,BROWN,M,NA,NA,NA,727971,729451,NA,WHSM0507,3000,RM,WHSM0424,WHSF0407
731521,BLACK,M,NA,NA,NA,728081,727772,NA,WHSM0508,3000,LT,WHSM0428,WHSF0408
731891,BLK HOOD,M,NA,NA,NA,727823,727784,NA,WHSM0509,3000,LB,WHSM0445,WHSF0409
731901,ALBINO,M,NA,NA,NA,729071,727832,NA,WHSM0510,3000,RC,WHSM0437,WHSF0410
731651,ALBINO,M,NA,NA,NA,727921,727792,NA,WHSM0512,3000,RM,WHSM0439,WHSF0412
731911,BROWN,M,NA,NA,NA,727883,727842,NA,WHSM0513,3000,LM,WHSM0422,WHSF0413
732071,ALBINO,M,NA,NA,NA,728091,727802,NA,WHSM0514,3000,LTRB,WHSM0430,WHSF0414
731941,BLACK,M,NA,NA,NA,727871,727852,NA,WHSM0515,3000,LB,WHSM0419,WHSF0415
731561,ALBINO,M,NA,NA,NA,727901,727942,NA,WHSM0516,3000,RT,WHSM0427,WHSF0416
731701,BRN HOOD,M,NA,NA,NA,728011,729052,NA,WHSM0517,3000,LM,WHSM0433,WHSF0417
732241,BLACK,M,NA,NA,NA,727891,730202,NA,WHSM0518,3000,LC,WHSM0423,WHSF0418
732281,BROWN,M,NA,NA,NA,727763,727872,NA,WHSM0519,3000,RC,WHSM0407,WHSF0419
731881,BLACK HOOD,M,NA,NA,NA,729101,727814,NA,WHSM0520,3000,LM,WHSM0432,WHSF0420
732031,ALBINO,M,NA,NA,NA,728061,727952,NA,WHSM0521,3000,LC,WHSM0441,WHSF0421
731511,BROWN,M,NA,NA,NA,727831,727884,NA,WHSM0522,3000,RT,WHSM0410,WHSF0422
732041,BROWN,M,NA,NA,NA,727991,727892,NA,WHSM0523,3000,LC,WHSM0431,WHSF0423
732671,ALBINO,M,NA,NA,NA,727951,727972,NA,WHSM0524,3000,LTRM,WHSM0421,WHSF0424
732061,BRN HOOD,M,NA,NA,NA,728021,729792,NA,WHSM0525,3000,LC,WHSM0434,WHSF0425
731681,BLACK,M,NA,NA,NA,727911,727982,NA,WHSM0526,3000,LM,WHSM0438,WHSF0426
731661,ALBINO,M,NA,NA,NA,728051,727902,NA,WHSM0527,3000,LT,WHSM0436,WHSF0427
731361,BLK HOOD,M,NA,NA,NA,727733,728082,NA,WHSM0528,3000,LT,WHSM0404,WHSF0428
732321,BLACK,M,NA,NA,NA,727851,728092,NA,WHSM0530,3000,RM,WHSM0415,WHSF0430
731831,BLK HOOD,M,NA,NA,NA,729031,727992,NA,WHSM0531,3000,RT,WHSM0416B,WHSF0431
732831,BRN HOOD,M,NA,NA,NA,728071,729102,NA,WHSM0532,3000,RC,WHSM0402,WHSF0432
732433,BROWN,M,NA,NA,NA,727933,728012,NA,WHSM0533,3000,LTRT,WHSM0443,WHSF0433
731501,BRN HOOD,M,NA,NA,NA,727841,728022,NA,WHSM0534,3000,LT,WHSM0413,WHSF0434
731751,BRN HOOD,M,NA,NA,NA,729361,728032,NA,WHSM0535,3000,RB,WHSM0442,WHSF0435
732291,ALBINO,M,NA,NA,NA,727771,728052,NA,WHSM0536,3000,LMRT,WHSM0408,WHSF0436
731981,BRN HOOD,M,NA,NA,NA,729791,729072,NA,WHSM0537,3000,LB,WHSM0425,WHSF0437
731741,BLK HOOD,M,NA,NA,NA,727801,727912,NA,WHSM0538,3000,LC,WHSM0414,WHSF0438
732051,ALBINO,M,NA,NA,NA,727783,727922,NA,WHSM0539,3000,LTRC,WHSM0409,WHSF0439
731841,BLACK,M,NA,NA,NA,727981,729522,NA,WHSM0540,3000,LB,WHSM0426,WHSF0440
732231,BROWN,M,NA,NA,NA,727813,728062,NA,WHSM0541,3000,RB,WHSM0420,WHSF0441
731671,ALBINO,M,NA,NA,NA,728031,729362,NA,WHSM0542,3000,LB,WHSM0435,WHSF0442
731821,ALBINO,M,NA,NA,NA,727791,727934,NA,WHSM0543,3000,RB,WHSM0412,WHSF0443
731951,BLACK,M,NA,NA,NA,727715,729352,NA,WHSM0544,3000,RT,WHSM0401,WHSF0444
731871,ALBINO,M,NA,NA,NA,727753,727824,NA,WHSM0545,3000,LM,WHSM0406,WHSF0445
733762,NA,M,NA,NA,NA,723011,733061,NA,WHSM0546,3000,NA,WHSM0446,WHSF0446
734002,NA,M,NA,NA,NA,733091,733121,NA,WHSM0547,3000,NA,WHSM0447,WHSF0447
733772,NA,M,NA,NA,NA,733112,722921,NA,WHSM0548,3000,NA,WHSM0448,WHSF0448
733782,NA,M,NA,NA,NA,733171,733191,NA,WHSM0549,3000,NA,WHSM0449,WHSF0449
733982,NA,M,NA,NA,NA,733251,733271,NA,WHSM0550,3000,NA,WHSM0450,WHSF0450
734252,NA,M,NA,NA,NA,733321,733371,NA,WHSM0551,3000,NA,WHSM0451,WHSF0451
733792,NA,M,NA,NA,NA,733401,733421,NA,WHSM0552,3000,NA,WHSM0452,WHSF0452
734242,NA,M,NA,NA,NA,733451,733471,NA,WHSM0553,3000,NA,WHSM0453,WHSF0453
734352,NA,M,NA,NA,NA,733521,733541,NA,WHSM0554,3000,NA,WHSM0454,WHSF0454
733802,NA,M,NA,NA,NA,733581,733601,NA,WHSM0555,3000,NA,WHSM0455,WHSF0455
734362,NA,M,NA,NA,NA,733192,733172,NA,WHSM0556,3000,NA,WHSM0456,WHSF0456
734372,NA,M,NA,NA,NA,733272,733452,NA,WHSM0557,3000,NA,WHSM0457,WHSF0457
734382,NA,M,NA,NA,NA,733602,723013,NA,WHSM0558,3000,NA,WHSM0458,WHSF0458
734102,NA,M,NA,NA,NA,733372,733402,NA,WHSM0559,3000,NA,WHSM0459,WHSF0459
734392,NA,M,NA,NA,NA,733123,733522,NA,WHSM0560,3000,NA,WHSM0460,WHSF0460
734112,NA,M,NA,NA,NA,733472,733092,NA,WHSM0561,3000,NA,WHSM0461,WHSF0461
733992,NA,M,NA,NA,NA,733422,733252,NA,WHSM0562,3000,NA,WHSM0462,WHSF0462
734122,NA,M,NA,NA,NA,733542,733582,NA,WHSM0563,3000,NA,WHSM0463,WHSF0463
733812,NA,M,NA,NA,NA,722924,733322,NA,WHSM0564,3000,NA,WHSM0464,WHSF0464
733821,BLK HOOD,M,NA,NA,NA,733065,733113,NA,WHSM0565,3000,LTRT,WHSM0465,WHSF0465
735121,ALBINO,M,NA,NA,NA,729052,728011,NA,WHSM0517B,3000,LBRB,NA,NA
735051,BLACK,M,NA,NA,NA,733092,733472,NA,WHSM0561B,3000,RC,NA,NA
735561,BRN HOOD,M,NA,NA,NA,727724,727724,NA,WHSM0503B,3000,LTRC,NA,NA
731692,BLACK,F,NA,NA,NA,727723,728661,NA,WHSF0501,3000,LT,WHSM0403,WHSF0401
732082,BROWN,F,NA,NA,NA,729351,728072,NA,WHSF0502,3000,LTRT,WHSM0444,WHSF0402
731542,BROWN,F,NA,NA,NA,727724,727724,NA,WHSM0503,3000,RT,WHSM0405,WHSF0403
731922,ALBINO,F,NA,NA,NA,727724,727724,NA,WHSF0504,3000,LB,WHSM0417,WHSF0404
732092,BLK HOOD,F,NA,NA,NA,729521,728711,NA,WHSF0505,3000,RB,WHSM0440,WHSF0405
731552,BROWN,F,NA,NA,NA,727941,727754,NA,WHSF0506,3000,RM,WHSM0416,WHSF0406
731712,BROWN,F,NA,NA,NA,727971,729451,NA,WHSF0507,3000,RC,WHSM0424,WHSF0407
