IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
708671,NA,M,NA,NA,NA,699571,700952,NA,HSM02401,2400,NA,HSM02301,HSF02304
708681,NA,M,NA,NA,NA,699581,704902,NA,HSM02402,2400,NA,HSM02302,HSF02307B
708691,NA,M,NA,NA,NA,700941,701122,NA,HSM02403,2400,NA,HSM02303,HSF02361
708701,NA,M,NA,NA,NA,700951,701112,NA,HSM02404,2400,NA,HSM02304,HSF02359
708711,NA,M,NA,NA,NA,700641,700752,NA,HSM02405,2400,NA,HSM02305,HSF02344
708721,NA,M,NA,NA,NA,700971,699592,NA,HSM02406,2400,NA,HSM02306,HSF02308
708731,NA,M,NA,NA,NA,700651,699572,NA,HSM02407,2400,NA,HSM02307,HSF02301
708741,NA,M,NA,NA,NA,704901,700742,NA,HSM02407B,2400,NA,HSM02307B,HSF02343
716871,NA,M,NA,NA,NA,699591,710392,NA,HSM02425B,2400,NA,HSM02308,HSF02343B
708761,NA,M,NA,NA,NA,699601,700812,NA,HSM02409,2400,NA,HSM02309,HSF02353
708781,NA,M,NA,NA,NA,699621,700942,NA,HSM02411,2400,NA,HSM02311,HSF02303
708791,NA,M,NA,NA,NA,700981,699662,NA,HSM02413,2400,NA,HSM02313,HSF02325
708801,NA,M,NA,NA,NA,700991,699672,NA,HSM02414,2400,NA,HSM02314,HSF02322
708811,NA,M,NA,NA,NA,699631,699692,NA,HSM02415,2400,NA,HSM02315,HSF02332
710771,NA,M,NA,NA,NA,710031,709772,NA,HSM02416,2400,NA,HSM02316,HSF02319B
708841,NA,M,NA,NA,NA,703521,703532,NA,HSM02418,2400,NA,HSM02318,HSF02321
708851,NA,M,NA,NA,NA,700661,700712,NA,HSM02419,2400,NA,HSM02319,HSF02329
708861,NA,M,NA,NA,NA,699651,700982,NA,HSM02420,2400,NA,HSM02320,HSF02313
708871,NA,M,NA,NA,NA,703531,699652,NA,HSM02421,2400,NA,HSM02321,HSF02320
708881,NA,M,NA,NA,NA,699671,701002,NA,HSM02422,2400,NA,HSM02322,HSF02316
708891,NA,M,NA,NA,NA,703451,700972,NA,HSM02423,2400,NA,HSM02323,HSF02306
708901,NA,M,NA,NA,NA,700691,699682,NA,HSM02424,2400,NA,HSM02324,HSF02331
708911,NA,M,NA,NA,NA,699661,699712,NA,HSM02425,2400,NA,HSM02325,HSF02340
708921,NA,M,NA,NA,NA,700721,701072,NA,HSM02426,2400,NA,HSM02326,HSF02349
708931,NA,M,NA,NA,NA,701011,700772,NA,HSM02427,2400,NA,HSM02327,HSF02347
708941,NA,M,NA,NA,NA,700701,699742,NA,HSM02428,2400,NA,HSM02328,HSF02355
716961,NA,M,NA,NA,NA,709811,710321,NA,HSM02428B,2400,NA,HSM02328B,HSF02314
708951,NA,M,NA,NA,NA,700711,699582,NA,HSM02429,2400,NA,HSM02329,HSF02302
708961,NA,M,NA,NA,NA,701021,703542,NA,HSM02430,2400,NA,HSM02330,HSF02341
708971,NA,M,NA,NA,NA,699681,699632,NA,HSM02431,2400,NA,HSM02331,HSF02315
708981,NA,M,NA,NA,NA,699691,699602,NA,HSM02432,2400,NA,HSM02332,HSF02309
708991,NA,M,NA,NA,NA,701031,700822,NA,HSM02433,2400,NA,HSM02333,HSF02357
709001,NA,M,NA,NA,NA,701041,701062,NA,HSM02434,2400,NA,HSM02334,HSF02339
709011,NA,M,NA,NA,NA,701051,701032,NA,HSM02435,2400,NA,HSM02335,HSF02333
709021,NA,M,NA,NA,NA,700671,700692,NA,HSM02436,2400,NA,HSM02336,HSF02324
709031,NA,M,NA,NA,NA,699701,699762,NA,HSM02437,2400,NA,HSM02337,HSF02364
709041,NA,M,NA,NA,NA,700731,699702,NA,HSM02438,2400,NA,HSM02338,HSF02337
709051,NA,M,NA,NA,NA,701061,700662,NA,HSM02439,2400,NA,HSM02339,HSF02319
709061,NA,M,NA,NA,NA,699711,701022,NA,HSM02440,2400,NA,HSM02340,HSF02330
709071,NA,M,NA,NA,NA,703541,703452,NA,HSM02441,2400,NA,HSM02341,HSF02323
709081,NA,M,NA,NA,NA,699721,700722,NA,HSM02442,2400,NA,HSM02342,HSF02326
709091,NA,M,NA,NA,NA,700741,700832,NA,HSM02443,2400,NA,HSM02343,HSF02360
711101,NA,M,NA,NA,NA,710391,710511,NA,HSM02443B,2400,NA,HSM02343B,HSF02342
709101,NA,M,NA,NA,NA,700751,703522,NA,HSM02444,2400,NA,HSM02344,HSF02318
709111,NA,M,NA,NA,NA,699731,701082,NA,HSM02445,2400,NA,HSM02345,HSF02350
709121,NA,M,NA,NA,NA,700761,701132,NA,HSM02446,2400,NA,HSM02346,HSF02362
709131,NA,M,NA,NA,NA,700771,700762,NA,HSM02447,2400,NA,HSM02347,HSF02346
709141,NA,M,NA,NA,NA,700781,701042,NA,HSM02448,2400,NA,HSM02348,HSF02334
709151,NA,M,NA,NA,NA,701071,700652,NA,HSM02449,2400,NA,HSM02349,HSF02307
709161,NA,M,NA,NA,NA,701081,700672,NA,HSM02450,2400,NA,HSM02350,HSF02336
709171,NA,M,NA,NA,NA,700791,699622,NA,HSM02451,2400,NA,HSM02351,HSF02311
709181,NA,M,NA,NA,NA,700801,699732,NA,HSM02452,2400,NA,HSM02352,HSF02345
709191,NA,M,NA,NA,NA,700811,700732,NA,HSM02453,2400,NA,HSM02353,HSF02338
709201,NA,M,NA,NA,NA,701091,701142,NA,HSM02454,2400,NA,HSM02354,HSF02363
709211,NA,M,NA,NA,NA,699741,700702,NA,HSM02455,2400,NA,HSM02355,HSF02328
709231,NA,M,NA,NA,NA,700821,701052,NA,HSM02457,2400,NA,HSM02357,HSF02335
709233,NA,M,NA,NA,NA,700821,701052,NA,HSM02457B,2400,NA,HSM02357,HSF02335
709241,NA,M,NA,NA,NA,699751,701012,NA,HSM02458,2400,NA,HSM02358,HSF02327
713051,NA,M,NA,NA,NA,701111,699752,NA,HSM02459,2400,NA,HSM02359,HSF02358
