IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
727715,ALBINO,M,NA,NA,NA,725345,725252,NA,WHSM0401,2900,LT,WHSM0310,WHSF0301
728071,BROWN HOOD,M,NA,NA,NA,726631,725262,NA,WHSM0402,2900,RM,WHSM0323,WHSF0302
727723,BROWN HOOD,M,NA,NA,NA,726231,725272,NA,WHSM0403,2900,LT,WHSM0334,WHSF0303
727733,ALBINO,M,NA,NA,NA,725351,726322,NA,WHSM0404,2900,LM,WHSM0312,WHSF0304
727743,BLACK,M,NA,NA,NA,725935,725291,NA,WHSM0405,2900,LT,WHSM0328,WHSF0305
727753,BROWN,M,NA,NA,NA,725405,725302,NA,WHSM0406,2900,LT,WHSM0317,WHSF0306
727763,BROWN HOOD,M,NA,NA,NA,725435,725311,NA,WHSM0407,2900,LM,WHSM0320,WHSF0307
727771,BROWN,M,NA,NA,NA,725375,725322,NA,WHSM0408,2900,LB,WHSM0314,WHSF0308
727783,BLACK HOOD,M,NA,NA,NA,726013,725336,NA,WHSM0409,2900,LT,WHSM0332,WHSF0309
727831,ALBINO,M,NA,NA,NA,725321,725346,NA,WHSM0410,2900,LB,WHSM0308,WHSF0310
727791,BROWN,M,NA,NA,NA,725261,725352,NA,WHSM0412,2900,RB,WHSM0302,WHSF0312
727841,BROWN HOOD,M,NA,NA,NA,725441,725364,NA,WHSM0413,2900,LC,WHSM0321,WHSF0313
727801,BLACK,M,NA,NA,NA,726221,725376,NA,WHSM0414,2900,RM,WHSM0325,WHSF0314
727851,BROWN HOOD,M,NA,NA,NA,726671,725384,NA,WHSM0415,2900,RT,WHSM0333,WHSF0315
727941,BROWN,M,NA,NA,NA,726251,725392,NA,WHSM0416,2900,LC,WHSM0335,WHSF0316
729031,BLACK HOOD,M,NA,NA,NA,726251,725392,NA,WHSM0416B,2900,RB,WHSM0335,WHSF0316
729051,BLACK,M,NA,NA,NA,725363,725406,NA,WHSM0417,2900,LTRT,WHSM0313,WHSF0317
