IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
665152,Brown,F,NA,7/12/2014,NA,664861,664472,1371,HSF01601,1600,RT,HSM01501B,HSF01513B
664542,brown,F,NA,3/26/2014,NA,658801,659082,1302,HSF01602,1600,RB,HSM01502,HSF01519
663352,brown,F,NA,3/7/2014,NA,658811,659352,1273,HSF01603,1600,RB,HSM01503,HSF01537
665322,Brown Hood,F,NA,6/21/2014,NA,664601,664912,1353,HSF01604,1600,RM,HSM01504B,HSF01538B
663112,Brown Hood,F,NA,3/1/2014,NA,658831,659912,1247,HSF01605,1600,RM,HSM01505,HSF01539
662982,Brown Hood,F,NA,2/21/2014,NA,658841,661022,1233,HSF01606,1600,RT,HSM01506,HSF01540
662992,black,F,NA,2/20/2014,NA,658851,659072,1227,HSF01607,1600,RT,HSM01507,HSF01518
663002,Brown Hood,F,NA,2/21/2014,NA,658861,659532,1234,HSF01608,1600,RM,HSM01508,HSF01542
665162,Black Hood,F,NA,7/5/2014,NA,664611,664202,1363,HSF01609,1600,RT,HSM01509B,HSF01543B
663012,Black Hood,F,NA,3/3/2014,NA,658871,659552,1255,HSF01610,1600,RB,HSM01510,HSF01544
663022,Black Hood,F,NA,3/2/2014,NA,658881,659122,1251,HSF01611,1600,RT,HSM01511,HSF01523
663032,Black Hood,F,NA,2/19/2014,NA,658891,659562,1225,HSF01612,1600,RB,HSM01512,HSF01545
663122,Black Hood,F,NA,2/28/2014,NA,658901,659162,1245,HSF01613,1600,RT,HSM01513,HSF01527
663712,Brown Hood,F,NA,3/13/2014,NA,659051,659142,1288,HSF01614,1600,RB,HSM01514,HSF01525
666152,Albino,F,NA,6/4/2014,NA,659051,659142,1335,HSF01614B,1600,RB,HSM01514,HSF01525
663132,Black Hood,F,NA,2/28/2014,NA,659061,659152,1243,HSF01615,1600,RB,HSM01515,HSF01526
663362,Brown Hood,F,NA,3/7/2014,NA,659511,659282,1267,HSF01616,1600,RB,HSM01516,HSF01530
666012,Brown Hood,F,NA,6/1/2014,NA,659511,659282,1330,HSF01616B,1600,RT,HSM01516,HSF01530
663372,brown,F,NA,3/19/2014,NA,659521,659292,1295,HSF01617,1600,RB,HSM01517,HSF01531
663042,Brown,F,NA,2/19/2014,NA,659071,658852,1220,HSF01618,1600,RT,HSM01518,HSF01507
663142,Black Hood,F,NA,2/27/2014,NA,659081,658872,1239,HSF01619,1600,RT,HSM01519,HSF01510
666082,Brown Hood,F,NA,5/30/2014,NA,661581,658802,1328,HSF01619B,1600,RM,HSM01519B,HSF01502
666392,Black Hood,F,NA,6/22/2014,NA,659081,658872,1354,HSF01619C,1600,RB,HSM01519,HSF01510
663152,brown,F,NA,2/26/2014,NA,659091,659312,1237,HSF01620,1600,RB,HSM01520,HSF01533
666162,Brown,F,NA,6/7/2014,NA,659091,659312,1339,HSF01620B,1600,RT,HSM01520,HSF01533
663162,black,F,NA,3/2/2014,NA,659101,659322,1253,HSF01621,1600,RM,HSM01521,HSF01534
667902,Brown Hood,F,NA,8/6/2014,NA,659101,659322,1445,HSF01621B,1600,RT,HSM01521,HSF01534
663382,albino,F,NA,3/7/2014,NA,659111,659302,1269,HSF01622,1600,RT,HSM01522,HSF01532
663052,black,F,NA,2/21/2014,NA,659121,658862,1231,HSF01623,1600,RB,HSM01523,HSF01508
663392,Brown Hood,F,NA,3/7/2014,NA,660281,659342,1271,HSF01624,1600,RM,HSM01524,HSF01536
663402,Black Hood,F,NA,3/8/2014,NA,659141,659332,1275,HSF01625,1600,RT,HSM01525,HSF01535
666172,Albino,F,NA,6/5/2014,NA,659141,659332,1336,HSF01625B,1600,RT,HSM01525,HSF01535
663412,black,F,NA,3/7/2014,NA,659161,659262,1265,HSF01627,1600,RM,HSM01527,HSF01528
666182,Brown,F,NA,6/6/2014,NA,659261,659062,1337,HSF01628,1600,RM,HSM01528,HSF01515
665112,Brown,F,NA,6/29/2014,NA,659261,659062,1361,HSF01628B,1600,RT,HSM01528,HSF01515
664012,Brown Hood,F,NA,4/5/2014,NA,659271,661582,1307,HSF01629,1600,RM,HSM01529,HSF01519B
663192,brown,F,NA,2/28/2014,NA,659281,659092,1241,HSF01630,1600,RM,HSM01530,HSF01520
663422,Brown Hood,F,NA,3/6/2014,NA,659291,658812,1257,HSF01631,1600,RT,HSM01531,HSF01503
663432,Brown Hood,F,NA,3/6/2014,NA,659301,660832,1259,HSF01632,1600,RM,HSM01532,HSF01517
666052,Brown,F,NA,5/29/2014,NA,659301,660832,1325,HSF01632B,1600,RB,HSM01532,HSF01517
666412,Brown ,F,NA,6/22/2014,NA,659301,660832,1355,HSF01632C,1600,RT,HSM01532,HSF01517
663442,brown,F,NA,3/7/2014,NA,659311,659512,1263,HSF01633,1600,RT,HSM01533,HSF01516
663452,brown,F,NA,3/6/2014,NA,659321,659272,1261,HSF01634,1600,RB,HSM01534,HSF01529
668372,Black,F,NA,8/16/2014,NA,659331,659572,1452,HSF01635,1600,RT,HSM01535,HSF01546
666422,Black,F,NA,6/23/2014,NA,659331,659572,1357,HSF01635B,1600,RM,HSM01535,HSF01546
663202,Black Hood,F,NA,3/12/2014,NA,659341,658792,1282,HSF01636,1600,RB,HSM01536,HSF01501
666062,Black Hood,F,NA,6/3/2014,NA,659341,658792,1333,HSF01636B,1600,RM,HSM01536,HSF01501
